பிரதான நகரங்களுக்கான வானிலை முன்னறிவித்தல் தி க தி : 2 0 2 6 - 0 1 - 1 6,,,,,
நகரம்,வவப்பநிலை (0C),,சாரீரப்பதன் (%),,வானிலை
,உச்ச,குலைந்த,உச்ச,குலைந்த,
அனுராதபுரம்,29,21,90,55,பிரதானமாக சீரான வானிலை
மட்டக்களப்பு,30,23,90,65,பிரதானமாக சீரான வானிலை
வகாழும்பு,31,23,85,60,பிரதானமாக சீரான வானிலை
காலி,29,24,90,70,"பி.ப. 4.00 மணிக்குப் பின்னர் மலை அல்ைது இடியுடன் கூடிய மலை வபய்யும்
சாத்தியம்"
யாழ்ப்பாணம்,29,20,90,65,பிரதானமாக சீரான வானிலை
கண்டி,29,18,90,60,பிரதானமாக சீரான வானிலை
நுவவரலியா,19,8,90,60,பிரதானமாக சீரான வானிலை
இரத்தினபுரி,35,22,90,55,"பி.ப. 2.00 மணிக்குப் பின்னர் மலை அல்ைது இடியுடன் கூடிய மலை வபய்யும்
சாத்தியம்"
திருககாணமலை,29,24,85,70,பிரதானமாக சீரான வானிலை
மன்னார்,30,22,90,60,பிரதானமாக சீரான வானிலை
