දින්‍ය : 2026-02-12,,,,,
න්‍ගරය,උෂ්ණත්වය(පස. අංශ්‍ක),,සාපේක්ෂ ආේරතාවය(%),,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනුරාධපුරය,29,21,95,60,විටින විට වැසි
මඩකලපුව,28,24,90,65,විටින විට වැසි
්කාළඹ,33,25,85,55,සවස 2.00න පසුව වැසි ්හෝ ගිගුරුම් සහිත වැසි ඇති ්ේ
ගාල්ල,29,25,90,75,සවස 2.00න පසුව වැසි ්හෝ ගිගුරුම් සහිත වැසි ඇති ්ේ
යාපනය,30,22,95,60,වැසි වාර කිහිපයක්
මහනුවර,28,19,90,55,විටින විට වැසි
නුවරඑළිය,17,10,95,50,විටින විට වැසි
රත්තනපුරය,30,22,95,50,සවස 2.00න පසුව වැසි ්හෝ ගිගුරුම් සහිත වැසි ඇති ්ේ
ිකුණාමලය,29,22,90,65,වැසි වාර කිහිපයක්
මනනාරම,30,26,90,65,වැසි වාර කිහිපයක්
