දින්‍ය : 2026-02-04,,,,,
න්‍ගරය,උෂ්ණත්වය(පස. අංශ්‍ක),,සාපේක්ෂ ආර්ද්‍රතාවය(%),,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනුරාධ්‍පුරය,29,23,95,70,වැසි වාර කිහිපයක්
මඩකලපුව,29,24,90,75,වැසි වාර කිහිපයක්
ගකාළඹ,32,24,85,55,සවස 2.00න් පසුව වැසි ගහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
ොේල,30,24,95,80,සවස 2.00න් පසුව වැසි ගහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
යාපනය,29,22,95,75,සිහින් වැසි වාර කිහිපයක්
මහනුවර,29,21,95,80,ප්‍රධ්‍ාන වශගයන් වැසි රහිත
නුවරඑළිය,20,13,95,80,වැසි වාර කිහිපයක්
රත්නපුරය,36,22,95,65,සවස 2.00න් පසුව වැසි ගහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
ිකුණාමලය,29,24,85,70,වැසි වාර කිහිපයක්
මන්නාරම,29,25,85,70,සිහින් වැසි වාර කිහිපයක්
