River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
11:00 am","Water
Level at
12:00
noon",Remarks,"Water
Level
Rising or
Falling","3 Hr RF in
mm at
12.00 noon",
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,6.15,6.20,Minor Flood,Rising,-,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,8.99,8.97,Minor Flood,Falling,0.0,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,15.50,15.49,Alert,Falling,0.0,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,2.31,2.37,Normal,,0.0,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,2.66,2.44,Normal,,0.0,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,2.78,2.51,Normal,,0.0,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.08,1.06,Normal,,0.0,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,5.07,5.10,Major Flood,Rising,0.0,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,12.79,12.80,Major Flood,Rising,,1.0
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,8.41,8.37,Minor Flood,Falling,0.0,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,6.53,6.40,Minor Flood,Falling,0.0,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,11.35,11.36,Major Flood,Rising,0.0,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,4.86,4.89,Minor Flood,Rising,0.0,
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,5.65,5.50,Alert,Falling,0.0,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,3.35,3.40,Major Flood,Rising,,0.6
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,7.26,7.21,Minor Flood,Falling,0.0,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,2.86,2.84,Normal,,4.8,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.53,1.53,Normal,,,0.9
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,1.26,1.26,Normal,,0.0,
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,0.57,0.56,Normal,,0.0,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.76,0.75,Normal,,0.0,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.29,1.29,Normal,,0.0,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.25,-0.25,Normal,,0.0,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.93,0.92,Normal,,0.0,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.46,0.46,Normal,,0.0,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,0.44,0.41,Normal,,0.0,
,Mahaweli Ganga,Manampitiya (HMIS),m,3.00,4.30,6.00,0.55,0.54,Normal,,0.0,
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-2.81,-2.93,Normal,,0.0,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,4.30,4.28,Normal,,0.0,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,2.21,2.09,Normal,,0.0,
,Badulu Oya,Taldena,m,3.00,4.00,5.00,0.47,0.45,Normal,,0.0,
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,1.51,1.51,Normal,,0.0,
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,0.56,0.56,Normal,,0.0,
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,1.19,1.19,Normal,,0.0,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,0.27,0.27,Normal,,0.0,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,1.37,1.38,Normal,,0.0,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,5.75,5.87,Alert,Rising,,0.6
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,4.85,4.65,Normal,,0.0,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,6.09,6.08,Major Flood,Falling,0.0,
