,නුවරඑළිය,"විටින් විට වැසි ඇතිවේ.
විටින් විට හමන
පැ.කි.මී. (30-40) ක
පමණ තරමක තද සුළං
ඇතිවිය හැක.",,,,වැසි වාර කිහිපයක් ඇති,,,වැසි වාර කිහිපයක් ඇති,
,,,,,,වේ . විටින් විට හමන,,,වේ . විටින් විට හමන,
,,,,,,පැ.කි.මී. (30-40) ක,,,පැ.කි.මී. (40-50) ක,
,,,,,,පමණ තරමක තද සුළං,,,පමණ තද සුළං ඇතිවිය,
,,,,,,ඇතිවිය හැක.,,,හැක.,
,මාතවල්,,වැසි වාර කිහිපයක්,,,වැසි ස්වල්පයක් ඇති,,,වැසි ස්වල්පයක් ඇති විය,
,,,ඇති වේ . විටින් විට,,,විය හැක. විටින් විට,,,හැක. විටින් විට හමන,
,,,හමන පැ.කි.මී. (30-40),,,හමන පැ.කි.මී. (30-40),,,පැ.කි.මී. (30-40) ක,
,,,ක පමණ තරමක තද,,,ක පමණ තරමක තද,,,පමණ තරමක තද සුළං,
,,,සුළං ඇතිවිය හැක.,,,සුළං ඇතිවිය හැක.,,,ඇතිවිය හැක.,
