"දදනික තත්ත්ව වාර්තාව- ශ්‍රී ලංකාව/epiyik mwpf;if-,yq;if/Situation Report- Sri Lanka දිනය/jpfjp /Date 12th June 2026 at 1000hrs",,,,,,,,,,,,,,,,,,
"පළාත khfhzk;
Province",#,"පරිපාලන ප්‍රලද්ශය நிரவ் ாகப் பிரிவு
Administrative purview",,"ආපදාව
mdHj;jk
Disaster","ආරම්භක දිනය
mdu;j;jk; Muk;gpj;j
jpfjp Date of
commenced","බලපෑමට ලක්වු
ghjpf;fg;gl;l Affected",,"මිය යෑම්
kuzq;f
s;
Deaths","තුවාලවු
පුද්ගලයින්
fhakil
e;NjhH
Injured
People","අතුරුදහ
න්වූ
පුද්ගලයින්
fhzhky;
NghNdhH
Missing
People","නිවාස්ත්‍ හානි Nrjkile;j
tPLfs; Houses
Damaged",,"ලවනත් හානි பிற பாதிப்புகள்
Other Damages",,"ආරක්ිත ස්ත්‍රථාන ghJfhg;ghd
miktplk; Safe Location",,,"ලවනත් කරුණු
NtW Fwpg;Gf;fs;
Remarks"
,,"දිස්ත්‍රික්කය
மாவடட் ம்
District","ප්‍රා.ලේ. ලකා
gpuNjr nra.gp
DS Division",,,"පවුේ ස්ත්‍ංඛ්‍යාව
FLk;gq;fs;
Families","පුද්ගලයින්
egHfs;
People",,,,"පූර්ණ හානි
KOik Fully","අර්ධ හානි
gFjpasT
Partially","කුඩා හා මධය
පරිමාණ වයාපාරික
ස්ත්‍රථාන சிறிய,
நடுத்தர,
நிறுவனங்களி
ன் சேதங்கள்;
Small, Medium,
Enterprises
Damages","ඉතා වැදගත් යටිතල
පහසුකම් වලට වූ
හානි mbg;gilf;
fl;likg;Gf;fs;
Damages to
critical
Infrastructure","ආරක්ිත
ස්ත්‍රථාන
ස්ත්‍ංඛ්‍යාව
vz;zpf;i
f No.
of Safety
Locations","පවුේ
ස්ත්‍ංඛ්‍යාව
FLk;gq;f
s;
Families","පුද්ගලයින්
egHfs;
Persons",
"දකුණු පලොත
njd; khfhzk;
Southern",1,,Ambalantota,High Wind,2026.05.05,1,3,,,,,1,,,,,,
,,,,High Wind,2026.05.14,1,2,,,,,1,,,,,,
,,,,High Wind,2026.06.04,1,2,,,,,1,,,,,,
,,,,Elephant Attack,2026.06.01,1,1,1,,,,,,,,,,
,,හම්බනකතොට,Beliaththa,High Wind,2026.05.20,1,1,,,,,1,,,,,,
,,`k;ghe;Njhl;il,,High Wind,2026.06.04,4,17,,,,,4,,1,,,,
,,Hambantota,Katuwana,High Wind,2026.06.01,1,4,,,,,1,,,,,,
,,,,High Wind,2026.06.04,1,5,,,,,1,,,,,,
,,,,High Wind,2026.06.07,1,2,,,,,1,,,,,,
,,,Thissamaharama,High Wind,2026.06.08,1,5,,,,,1,,,,,,
,,,Weeraketiya,High Wind,2026.06.08,2,8,,,,,2,,,,,,
,දිස්ත්‍රික් එ තුව/khtl;l $l;Lj;njhif/District Total,,,,,15,50,1,0,0,0,14,0,1,0,0,0,
,පළොත් ඵ තුව/ khfhz $l;Lj;njhif/Province Total,,,,,15,50,1,0,0,0,14,0,1,0,0,0,
"බස්ත්‍රනොහිර පලොත
Nky; khfhzk
Western",2,"ළුතර
fSj;Jiw
Kalutara",Millaniya,Fire,2026.06.03,,68,14,4,,,,,,,,,
,,,Walallawita,High Wind,2026.06.04,2,7,,,,,2,,,,,,
,,,,,2026.06.05,2,9,,,,,2,,,,,,
,,,Bandaragama,,2026.06.07,3,13,,,,,2,,,,,,
,,,Kaluthara,,2026.06.06,5,20,,,,,5,,,,,,
,,,Beruwala,,2626.06.05,5,23,,,,,5,,,,,,
,,,Horana,,2026.06.07,2,7,,,,,2,,,,,,
,,,Dodangoda,,2026.06.07,1,2,,,,,1,,,,,,
,,,Mathugama,,2026.06.08,10,38,,,,,10,,,,,,
,,,Madurawala,,2026.06.06,1,3,,,,,1,,,,,,
,දිස්ත්‍රික් එ තුව/khtl;l $l;Lj;njhif/District Total,,,,,31,190,14,4,0,0,30,0,0,0,0,0,
,3,"ක ොළඹ
nfhOk;G
Colombo",Maharagama,Fire,2026.06.09,,3,3,,,,,,,,,,"Due to the sudden
fire at the
""Matara Wenasa""
restaurant at
Thalawathugoda"
,,,Colombo,Drowning,2026.06.10,,3,2,1,,,,,,,,,
,දිස්ත්‍රික් එ තුව/khtl;l $l;Lj;njhif/District Total,,,,,0,6,5,1,0,0,0,0,0,0,0,0,
,පළොත් ඵ තුව/ khfhz $l;Lj;njhif/Province Total,,,,,31,196,19,5,0,0,30,0,0,0,0,0,
