RiverBasin,Tributory/River,GaugingStation,,,,,"Water
Levelat
11:00
PM","Water
Levelat
12:00
AM",Remarks,"Water
Level
Risingor
Falling","15HrRF
inmmat
12:00AM",,,,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,,,
"KelaniGanga
(RB01)",KelaniGanga,NagalagamStreet,ft,4.00,5.00,7.00,2.00,2.10,Normal,,-,,,,
,KelaniGanga,Hanwella,m,7.00,8.00,10.00,4.04,4.02,Normal,,9.2,,,,
,KelaniGanga,Glencourse,m,15.00,16.50,19.00,11.93,11.91,Normal,,8.7,,,,
,KelaniGanga,Kithulgala,m,3.00,4.00,6.00,2.25,2.20,Normal,,37.4,,,,
,GurugodaOya,Holombuwa,m,3.00,3.40,5.00,1.19,1.23,Normal,,28.,,6,,
,SeethawakaGanga,Deraniyagala,m,4.80,5.80,6.40,2.20,2.23,Normal,,50.7,,,,
,KehelgamuOya,Norwood,m,1.50,3.00,4.50,0.86,0.88,Normal,,11.7,,,,
"KaluGanga
(RB03)",KaluGanga,Putupaula,m,3.00,4.00,5.00,2.25,2.26,Normal,,4.4,,,,
,KaluGanga,Ellagawa,m,10.00,10.70,12.20,8.38,8.35,Normal,,31.,,1,,
,KaluGanga,Rathnapura,m,5.20,7.50,9.50,4.75,4.69,Normal,,10.3,,,,
,MaguruGanga,Magura,m,4.00,6.00,7.50,3.76,NA,NA,,0.0,,,,
,KudaGanga,Kalawellawa(Millakanda),m,5.00,6.50,8.00,5.68,5.68,Alert,,12.5,,,,
"GinGanga
(RB09)",GinGanga,Baddegama,m,3.50,4.00,5.00,NA,NA,NA,,0.0,,,,
,GinGanga,Thawalama,m,4.00,6.00,7.50,2.59,2.55,Normal,,0.0,,,,
"NilwalaGanga
(RB12)",NilwalaGanga,Thalgahagoda,m,1.40,1.70,2.80,1.20,1.20,Normal,,8.5,,,,
,NilwalaGanga,Panadugama,m,5.00,6.00,7.50,4.84,4.82,Normal,,11.4,,,,
,NilwalaGanga,Pitabeddara,m,4.00,5.00,6.50,1.57,1.56,Normal,,3.8,,,,
,UrubokkaGanga,Urawa,m,2.50,4.00,6.00,0.71,0.69,Normal,,5.2,,,,
"MahaOya
(RB102)",MahaOya,Badalgama,m,5.00,6.20,9.60,2.13,2.15,Normal,,,19.6,,,
,MahaOya,Giriulla,m,5.50,6.50,7.50,1.26,1.28,Normal,,47.1,,,,
"AttanagaluOya
(RB103)",AttanagaluOya,Dunamale,m,3.30,4.40,5.50,1.16,1.18,Normal,,,17.4,,,
