River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water
Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am",
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,1.00,1.05,Normal,,-,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,2.30,2.29,Normal,,0.0,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,10.41,10.39,Normal,,0.0,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,1.81,1.59,Normal,,5.1,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.68,0.68,Normal,,0.0,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.89,0.91,Normal,,10.4,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.74,0.74,Normal,,9.4,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,0.93,0.88,Normal,,4.1,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,5.74,5.74,Normal,,8.2,
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,2.01,2.00,Normal,,1.4,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,2.43,2.40,Normal,,2,6.9
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,3.69,3.68,Normal,,11.1,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,1.94,1.96,Normal,,8.1,
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,2.15,2.22,Normal,,2,7.9
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.43,0.40,Normal,,2.1,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,3.35,3.40,Normal,,6.3,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.06,1.03,Normal,,57.5,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.33,0.37,Normal,,5.4,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,0.88,0.89,Normal,,0.0,
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,0.40,0.40,Normal,,0.0,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.56,0.56,Normal,,0.0,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.19,1.20,Normal,,0.0,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.15,-0.15,Normal,,0.0,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.61,0.61,Normal,,0.0,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.39,0.41,Normal,,0.0,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,0.07,0.07,Normal,,0.0,
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,-0.05,-0.08,Normal,,0.0,
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,-3.26,-3.28,Normal,,0.0,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,1.78,2.00,Normal,,0.0,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.46,1.45,Normal,,4.9,
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,0.17,0.17,Normal,,0.0,
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,1.47,1.46,Normal,,0.0,
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,0.53,0.53,Normal,,0.0,
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,1.40,1.39,Normal,,0.0,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,0.42,0.42,Normal,,0.0,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,0.59,0.59,Normal,,0.0,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.50,2.49,Normal,,0.0,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.25,1.25,Normal,,0.0,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,1.68,1.66,Normal,,0.3,
