River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
2:00 am","Water
Level at
3:00 am",Remarks,"Water
Level
Rising or
Falling","18 Hr RF
in mm at
3.00 am",,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,2.10,1.80,Normal,,-,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,2.29,2.29,Normal,,1.1,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,10.56,10.50,Normal,,25.1,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,1.30,1.24,Normal,,34,.7,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.60,0.60,Normal,,1.7,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.80,0.77,Normal,,19.0,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.70,0.69,Normal,,0.6,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,0.98,1.01,Normal,,1.1,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,5.60,5.88,Normal,,9.4,,
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,2.79,3.10,Normal,,46.9,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,2.91,2.70,Normal,,0.0,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,4.60,4.64,Normal,,0.0,,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,2.05,2.08,Normal,,9.2,,
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,2.37,2.30,Normal,,65.1,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.88,0.90,Normal,,45.3,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,3.70,3.63,Normal,,23.3,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,0.87,0.81,Normal,,11.0,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.15,0.14,Normal,,11.7,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,1.03,1.03,Normal,,5.1,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,1.82,1.80,Normal,,0.0,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,1.58,1.56,Normal,,1.4,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.87,1.87,Normal,,0.0,,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,1.55,1.39,Normal,,0.0,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,1.50,1.70,Normal,,7.7,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,1.57,1.41,Normal,,7.2,,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,0.37,0.37,Normal,,9.9,,
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,1.15,1.13,Normal,,17.7,,
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,-,-,,,10.2,,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,1.57,1.60,Normal,,1.6,,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.10,1.09,Normal,,1.9,,
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,0.98,0.95,Normal,,38,.3,
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,2.13,2.12,Normal,,25.1,,
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,0.63,0.63,Normal,,2.3,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,-,-,,,9.0,,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,-,-,,,18.1,,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,1.23,1.18,Normal,,1.7,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.68,2.68,Normal,,16.4,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.48,1.46,Normal,,25.8,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,2.92,2.90,Normal,,4.2,,
