"දදනික තත්ත්ව වාර්තාව-ශ්‍රී ලංකාව/epiyik mwpf;if-,yq;if/Situation Report- Sri Lanka දිනය/jpfjp /Date :28th November 2024 at 1600hrs",,,,,,,,,,,,,,,,,,
"පළාත khfhzk;
Province",#,"පරිපාලන ප්‍රලද්ශය நிரவ் ாகப் பிரிவு
Administrative purview",,"ආපදාව
mdHj;jk
Disaster","ආරම්භක දිනය
mdu;j;jk;
Muk;gpj;j jpfjp
Date of
commenced","බලපෑමට ලක්වු
ghjpf;fg;gl;l Affected",,"මිය යෑම්
kuzq;f
s;
Deaths","තුවාලවු
පුද්ගලයින්
fhakil
e;NjhH
Injured
People","අතුරුදහ
න්වූ
පුද්ගලයින්
fhzhky;
NghNdhH
Missing
People","නිවාස්ත්‍ හානි
Nrjkile;j
tPLfs; Houses
Damaged",,"ලවනත් හානි பிற பாதிப்புகள்
Other Damages",,"ආරක්ිත ස්ත්‍රථාන ghJfhg;ghd
miktplk; Safe Location",,,"ලවනත් කරුණු
NtW Fwpg;Gf;fs;
Remarks"
,,"දිස්ත්‍රික්කය
மாவடட் ம்
District","ප්‍රා.ලේ. ලකා
gpuNjr nra.gp DS
Division",,,"පවුේ ස්ත්‍ංඛ්‍යාව
FLk;gq;fs;
Families","පුද්ගලයින්
egHfs;
People",,,,"පූර්ණ
හානි
KOik
Fully","අර්ධ හානි
gFjpasT
Partially","කුඩා හා මධය
පරිමාණ වයාපාරික
ස්ත්‍රථාන சிறிய,
நடுத்தர,
நிறுவனங்களி
ன் சேதங்கள்;
Small, Medium,
Enterprises
Damages","ඉතා වැදගත් යටිතල
පහසුකම් වලට වූ
හානි mbg;gilf;
fl;likg;Gf;fs;
Damages to
critical
Infrastructure","ආරක්ිත
ස්ත්‍රථාන
ස්ත්‍ංඛ්‍යාව
vz;zpf;i
f No.
of Safety
Locations","පවුේ
ස්ත්‍ංඛ්‍යාව
FLk;gq;f
s;
Families","පුද්ගලයින්
egHfs;
Persons",
,1,"මාතලේ
khj;jis
Matale",Naula,Heavy Rain,2024.11.25,2,7,,,,1,,,,,,,
,,,Galewela,,2024.11.26,1,4,,,,,1,,,,,,
,,,Yatawatta,,2024.11.26,1,3,,,,,1,,,,,,
,,,Ambanganga Korale,,2024.11.26,2,9,,,,,2,,,,,,
,,,Wilgamuwa,,2024.11.26,6,18,,2,,1,5,,,,,,
,,,Laggala,,2024.11.26,1,4,,,,1,1,,,,,,
,දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,13,45,0,2,0,3,10,0,0,0,0,0,
"මධ්‍යම පලාත
kj;jpa khfhzk;
Central",2,"නුවර
fz;b
Kandy",Poojapitiya,"Cutting Faliure / Heavy
Rain /High wind/ Tree
Fallen","2024.11.25 / 26
/27",21,87,,,,1,16,,,1,5,26,
,,,Udunuwara,,,8,35,,,,,8,,,,,,
,,,Akurana,,,18,87,,,,,18,,,,,,
,,,Doluwa,,,6,25,,,,1,4,,,,,,
,,,Delthota,,,7,33,,,,,6,,,,,,
,,,Pathadumbara,,,10,36,,,,1,9,,,2,3,14,
,,,Harispaththuwa,,,10,49,,,,,5,,,,,,
,,,Minipe,,,10,39,,,,,4,,,,,,
,,,Hatharaliyadda,,,4,15,,,,,4,,,,,,
,,,Pathahewaheta,,,15,58,,,,,12,,,1,3,13,
,,,Panvila,,,24,119,,,,,8,,,,,,
,,,Thumpane,,,20,88,,,,4,16,,,,,,
,,,Gangawata Korale,,,21,92,,,,,21,,,,,,
,,,Pasbage Korale,,,4,17,,,,,2,,,,,,
,,,Ganga Ihala Korale,,,7,28,,,,,5,,,,,,
,,,Kundasale,,,12,55,,,,1,11,,,,,,
,,,Udapalatha,,,4,16,,,,,4,,,,,,
,,,Ududumbara,,,1,2,,,,,1,,,,,,
,දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,202,881,0,0,0,7,154,0,0,4,11,53,
,පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total,,,,,215,926,0,2,0,10,164,0,0,4,11,53,
,3,"පුත්තලම
Gj;jsk;
Puttalam",Mundalama,"Flash Flood / Heavy
Rain / Wind",2024.11.26,1193,4598,,,,,,,,,,,
,,,Wennappuwa,,2024.11.26,567,2229,,,,,1,,,,,,
,,,Kalpitiya,,2024.11.26,841,2823,,,,,,,,2,8,36,
,,,Arachchikattuwa,,2024.11.26,46,132,,,,,,,,,,,
,,,Madampe,,2024.11.26,132,362,,,,,3,,,,,,
,,,Pallama,,2024.11.26,3,4,,,,,1,,,,,,
,,,Puttalam,,2024.11.26,2369,6337,,,,,,50,175,1,1,1,
,,,Nattandiya,,2024.11.26,178,496,,,,,3,,,1,2,8,
,,,Wanathavilluwa,,2024.11.26,87,297,,,,,2,,,,,,
,,,Dankotuwa,,2024.11.26,19,58,1,2,,,,,,,,,
,,,Mahawewa,,2024.11.26,325,1097,,,,,2,,,,,,
,දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,5760,18433,1,2,0,0,12,50,175,4,11,45,
