River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am",
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,1.10,0.80,Normal,,-,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,1.40,1.39,Normal,,0.0,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,9.51,9.47,Normal,,17.5,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.70,1.70,Normal,,0.0,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.57,0.57,Normal,,0.3,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.49,0.47,Normal,,0.0,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.70,0.70,Normal,,0.0,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,0.61,0.46,Normal,,0.0,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,4.89,4.87,Normal,,0.0,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,1.35,1.34,Normal,,0.0,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,1.43,1.41,Normal,,0.0,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,2.31,2.22,Normal,,1.5,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,1.39,1.36,Normal,,0.0,
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,1.68,1.68,Normal,,2.3,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.15,1.13,Normal,,0.0,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,3.93,3.88,Normal,,0.0,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,0.98,0.98,Normal,,0.0,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.56,0.57,Normal,,0.0,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,2.20,2.20,Normal,,0.0,
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,1.98,1.97,Normal,,0.0,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,1.31,1.30,Normal,,0.0,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,2.23,2.23,Normal,,0.0,
"Menik Ganga (RB
26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,2.09,2.08,Normal,,0.0,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,2.28,2.27,Normal,,0.0,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,1.85,1.83,Normal,,0.0,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,1.68,1.66,Normal,,0.0,
,,Manampitiya ( Old),m,3.50,5.00,6.00,2.44,2.37,Normal,,0.0,
,Mahaweli Ganga,Manampitiya (HMIS),m,4.65,6.15,7.15,3.58,3.51,Normal,,0.0,
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-0.16,-0.21,Normal,,3.7,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,2.65,2.65,Normal,,0.0,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,0.96,0.96,Normal,,0.0,
,Badulu Oya,Taldena,m,3.00,4.00,5.00,1.29,1.30,Normal,,1.5,
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,7.06,7.08,Alert,Rising,0.0,
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,1.18,1.16,Normal,,7,.9
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,6.49,6.51,Alert,Rising,0.0,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,4.31,4.27,Normal,,0.3,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,1.95,1.87,Normal,,0.0,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.36,2.36,Normal,,0.0,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.21,1.21,Normal,,0.3,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,1.23,1.22,Normal,,0.0,
