දින්‍ය : 2026-05-10,,,,,
න්‍ රය,උෂ්ණත්වය(ගස. අංශක),,සාගේක්ෂ ආර්රතාවය(%),,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනුරොධ්‍පුරය,33,25,95,60,සවස 2.00ේ පසුව වැසි න ෝ ගිගුරුම් සහිත වැසි ඇති නේ
මඩකලපුව,32,26,95,70,වැසි න ෝ ගිගුරුම් සහිත වැසි ඇති නේ
නකොළඹ,31,25,95,65,වැසි න ෝ ගිගුරුම් සහිත වැසි ඇති නේ
ෙොල්ල,30,26,95,75,වැසි න ෝ ගිගුරුම් සහිත වැසි ඇති නේ
යොපනය,32,26,95,70,වැසි න ෝ ගිගුරුම් සහිත වැසි ඇති නේ
ම නුවර,30,22,95,70,සවස 2.00ේ පසුව වැසි න ෝ ගිගුරුම් සහිත වැසි ඇති නේ
නුවරඑළිය,21,14,95,75,සවස 2.00ේ පසුව වැසි න ෝ ගිගුරුම් සහිත වැසි ඇති නේ
රත්නපුරය,32,24,95,70,සවස 2.00ේ පසුව වැසි න ෝ ගිගුරුම් සහිත වැසි ඇති නේ
ත්‍රිකුණොමලය,32,24,95,65,වැසි න ෝ ගිගුරුම් සහිත වැසි ඇති නේ
මේනොරම,33,26,95,70,වැසි න ෝ ගිගුරුම් සහිත වැසි ඇති නේ
