River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
5:00 AM","Water
Level at
6:00 AM",Remarks,"Water
Level
Rising or
Falling","21 Hr RF
in mm at
6:00 AM",,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,2.30,2.00,Normal,,-,,
,Kelani Ganga,Hanwella,m,6.50,7.50,9.50,4.68,4.69,Normal,,18.3,,
,Kelani Ganga,Glencourse,m,15.00,15.50,19.00,12.79,12.81,Normal,,20.1,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,2.77,2.77,Normal,,32.5,,
,Gurugoda Oya,Holombuwa,m,3.00,4.00,6.00,1.48,1.51,Normal,,27.2,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,7.00,1.77,1.90,Normal,,39.2,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.26,1.23,Normal,,48.8,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.64,2.63,Normal,,18.2,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,7.79,7.79,Normal,,30.3,,
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,4.80,4.96,Normal,,24.7,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,4.32,4.43,Alert,Rising,16.4,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,6.76,6.72,Minor Flood,Falling,23.7,,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,4.02,4.07,Minor Flood,Rising,97.8,,
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,4.89,4.98,Alert,Rising,113.9,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.40,1.40,Alert,,18.9,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,5.74,6.11,Minor Flood,Rising,40.8,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,4.10,4.43,Alert,Rising,120.1,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,3.14,3.13,Alert,Falling,136.0,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,0.91,1.05,Normal,,45.3,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,1.11,1.10,Normal,,18.1,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.94,0.91,Normal,,11.4,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.01,1.01,Normal,,11.8,,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.25,-0.25,Normal,,38.6,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.54,0.54,Normal,,0.0,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.14,0.14,Normal,,0.0,,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,0.08,0.08,Normal,,0.8,,
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,-0.24,-0.21,Normal,,0.0,,
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,-,-3.13,Normal,,0.0,,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,3.36,3.28,Normal,,33.5,,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,2.57,2.91,Normal,,37.6,,
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,0.16,0.13,Normal,,0.0,,
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,1.65,1.65,Normal,,0.0,,
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,0.41,0.41,Normal,,0.0,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,-,-,,,0.0,,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,-,-,,,0.7,,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,0.39,0.39,Normal,,16.0,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.59,2.61,Normal,,33.8,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.46,1.47,Normal,,43.0,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,2.48,2.48,Normal,,12.4,,
