River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water
Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am",,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,2.50,2.50,Normal,,-,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,4.97,4.90,Normal,,1.9,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,11.78,11.72,Normal,,2.2,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,2.00,2.00,Normal,,3.5,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.03,1.03,Normal,,7.,9,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.27,1.26,Normal,,14.4,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.85,0.85,Normal,,5.8,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,3.09,3.07,Alert,Falling,0.7,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,8.03,7.94,Normal,,3.6,,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,2.40,2.33,Normal,,2.6,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,2.51,2.46,Normal,,7.,8,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,7.15,7.11,Minor Flood,Falling,0.0,,
Gin Ganga,Gin Ganga,Tawalama,m,4.00,6.00,7.50,1.93,1.93,Normal,,5.2,,
(RB 09),Gin Ganga,Baddegama,m,3.50,4.00,5.00,1.86,1.83,Normal,,3.7,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.63,0.63,Normal,,1.1,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,3.25,3.23,Normal,,3.1,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,0.92,0.89,Normal,,0.0,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.37,0.37,Normal,,5.2,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,1.80,3.50,5.00,0.69,0.69,Normal,,0.0,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,0.06,0.06,Normal,,0.0,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.60,0.60,Normal,,0.0,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.03,1.03,Normal,,0.0,,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.37,-0.37,Normal,,0.0,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.84,0.84,Normal,,0.0,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.26,0.26,Normal,,0.0,,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,0.07,0.06,Normal,,0.0,,
,,Manampitiya ( Old),m,3.50,5.00,6.00,-0.93,-0.95,Normal,,0.0,,
,Mahaweli Ganga,Manampitiya (HMIS),m,4.65,6.15,7.15,0.21,0.19,Normal,,0.0,,
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-2.78,-2.88,Normal,,0.0,,
Mahaweli Ganga,Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,2.79,2.96,Normal,,5.7,,
(RB 60),Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.65,1.63,Normal,,14.3,,
,Badulu Oya,Taldena,m,3.00,4.00,5.00,0.39,0.39,Normal,,0.0,,
,Agra Oya,Calidonia,m,3.00,3.50,4.50,0.99,0.98,Normal,,4.3,,
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,1.54,1.53,Normal,,0.0,,
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,0.35,0.35,Normal,,0.0,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,0.73,0.73,Normal,,0.0,,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,0.02,0.02,Normal,,0.0,,
"Deduru Oya
(RB 99)",Deduru Oya,Ridi bendi Ella (Dam),m,3.30,4.20,4.70,1.32,1.32,Normal,,0.1,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,3.08,3.07,Normal,,4.5,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.90,1.86,Normal,,10.9,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,2.57,2.50,Normal,,0.0,,
