River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
11:00 AM","Water
Level at
12:00
Noon",Remarks,"Water Level
Rising or
Falling","3 Hr RF in
mm at
12:00 Noon",,,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,1.95,1.70,Normal,,-,,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,4.24,4.16,Normal,,7.7,,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,12.11,12.03,Normal,,7.1,,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,2.75,2.74,Normal,,3.,,,9
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.16,1.14,Normal,,,2.2,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.45,1.47,Normal,,8.0,,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.40,1.43,Normal,,6.7,,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.55,2.53,Normal,,0.0,,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,8.96,8.92,Normal,,,2.2,,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,4.18,4.09,Normal,,0.0,,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,2.19,2.17,Normal,,0.0,,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,5.09,5.05,Alert,Falling,0.0,,,
Gin Ganga,Gin Ganga,Tawalama,m,4.00,6.00,7.50,1.90,1.94,Normal,,0.0,,,
(RB 09),Gin Ganga,Baddegama,m,3.50,4.00,5.00,2.12,2.09,Normal,,0.0,,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.80,1.79,Minor Flood,Falling,0.0,,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,4.53,4.50,Normal,,0.0,,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.22,1.22,Normal,,0.0,,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.60,0.60,Normal,,0.0,,,
Mahaweli Ganga,Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,6.12,6.18,Alert,Rising,,,3.0,
(RB 60),Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,2.66,2.66,Normal,,4.,,,5
