Automatic Weather Station,Districts,Rainfall (mm)
Kesbewa,Colombo,204.0
Veyangoda,Gampaha,145.5
Gilimale,Rathnapura,121.0
Wathupitiwala,Gampaha,105.5
Devitura Estate,Galle,102.5
Bandaragama Government Farm,Kaluthara,102.5
Horana,Kaluthara,101.5
