River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am",,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,2.10,2.50,Normal,,-,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,3.08,3.07,Normal,,0.0,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,10.79,10.75,Normal,,0.0,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.80,1.76,Normal,,13.3,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.92,0.90,Normal,,0.6,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.80,0.80,Normal,,1.6,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.95,0.95,Normal,,2.8,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,1.80,1.80,Normal,,0.6,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,7.26,7.23,Normal,,0.0,,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,2.90,2.80,Normal,,0.1,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,2.91,2.75,Normal,,0.0,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,5.33,5.31,Alert,Falling,0.0,,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.75,3.74,Alert,Falling,0.0,,
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.36,2.35,Normal,,0.0,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,2.06,2.07,Minor Flood,Rising,0.6,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,6.67,6.60,Minor Flood,Falling,0.0,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,2.10,2.04,Normal,,0.0,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.50,1.48,Normal,,0.0,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,1.80,3.50,5.00,1.20,1.19,Normal,,0.0,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,1.75,1.69,Normal,,0.0,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,1.17,1.10,Normal,,3.0,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.95,1.94,Normal,,0.0,,
"Menik Ganga (RB
26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.05,-0.05,Normal,,0.0,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,1.03,1.02,Normal,,0.6,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.52,0.52,Normal,,0.0,,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,0.47,0.47,Normal,,0.0,,
,,Manampitiya ( Old),m,3.50,5.00,6.00,-0.69,-0.69,Normal,,0.0,,
,Mahaweli Ganga,Manampitiya (HMIS),m,4.65,6.15,7.15,0.45,0.45,Normal,,0.0,,
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-2.74,-2.68,Normal,,3.7,,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,3.20,3.18,Normal,,17.4,,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.39,1.38,Normal,,3.7,,
,Badulu Oya,Taldena,m,3.00,4.00,5.00,0.65,0.65,Normal,,0.0,,
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,2.54,2.53,Normal,,10.,9,
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,0.65,0.65,Normal,,0.0,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,0.88,0.87,Normal,,0.0,,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,0.07,0.06,Normal,,0.0,,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,3.57,3.30,Normal,,0.0,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,3.39,3.37,Normal,,0.0,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,2.30,2.27,Normal,,0.0,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,3.45,3.42,Alert,Falling,0.0,,
