River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
5:00 pm","Water
Level at
6:00 pm",Remarks,"Water
Level
Rising or
Falling","9 Hr RF in
mm at 6.00
pm",,,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,3.10,3.10,Normal,,-,,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,5.20,5.18,Normal,,2.0,,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,12.03,12.05,Normal,,0.7,,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,2.11,2.16,Normal,,36.0,,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.26,1.30,Normal,,7.8,,,
,"Seethawaka
Ganga",Deraniyagala,m,4.80,5.80,6.40,1.54,1.47,Normal,,20,,.0,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.85,0.86,Normal,,11.5,,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,3.58,3.58,Alert,,4.1,,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,9.00,8.97,Normal,,0.0,,,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,3.49,3.47,Normal,,9.9,,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,4.40,4.37,Alert,Falling,0.0,,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,7.43,7.41,Minor Flood,Falling,2.4,,,
Gin Ganga,Gin Ganga,Tawalama,m,4.00,6.00,7.50,3.05,2.96,Normal,,4.1,,,
(RB 09),Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.70,3.70,Alert,,9.4,,,
"Nilwala
Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.23,1.26,Normal,,0.0,,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,5.19,5.20,Alert,Rising,6.1,,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.82,1.87,Normal,,0.0,,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.99,0.95,Normal,,1.4,,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.85,2.87,Normal,,23.5,,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.65,1.68,Normal,,1,7.3,,
"Attanagalu
Oya (RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,3.37,3.37,Alert,,9.1,,,
