Automatic Weather Station,Districts,Rainfall (mm)
Maliboda,Kegalle,103.5
Dellawa Tea Factory,Galle,93.5
Gurudiyapotha Tea Factory,Galle,87.5
WKK Lanka Co (PVT) Ltd,Kaluthara,83.0
