ප්‍රධාන්‍ න්‍ගර සෙහා කාලගුණ අන්‍ාවැකිය දි න්‍ ය : 2 0 2 6 - 0 1 -07,,,,,
න්‍ගරය,උෂණ් ත්වය(කස. අෙංශක),,සාකේක්ෂ ආර්රතාවය(%),,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනුරාධ්‍පුරය,29,21,95,75,වැසි වාර කිහිපයක්
මඩකලපුව,30,24,95,80,විටින් විට වැසි
ගකාළඹ,32,24,85,60,ප්‍රධ්‍ාන වශගයන් වැසි රහිෙ
ොේල,30,24,90,75,සවස 2.00න් පසුව වැසි ගහෝ ගිගුරුම් සහිෙ වැසි ඇති විය හැක
යාපනය,28,23,90,75,සිහින් වැසි වාර කිහිපයක්
මහනුවර,26,20,95,80,සවස 2.00න් පසුව වැසි ගහෝ ගිගුරුම් සහිෙ වැසි ඇති ගේ
නුවරඑළිය,19,13,95,90,සවස 2.00න් පසුව වැසි ගහෝ ගිගුරුම් සහිෙ වැසි ඇති ගේ
රත්නපුරය,33,23,95,60,සවස 2.00න් පසුව වැසි ගහෝ ගිගුරුම් සහිෙ වැසි ඇති ගේ
ිකුණාමලය,28,24,90,80,විටින් විට වැසි
මන්නාරම,28,23,95,80,විටින් විට වැසි
