River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am",
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,1.80,1.80,Normal,,-,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,4.24,4.15,Normal,,0.0,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,11.55,11.38,Normal,,37.9,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.59,1.61,Normal,,21.5,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.22,1.17,Normal,,34.3,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.77,0.76,Normal,,46.0,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.98,0.97,Normal,,21.1,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,1.81,1.75,Normal,,0.0,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,7.00,7.02,Normal,,25.8,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,2.50,2.41,Normal,,40.4,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,2.49,2.45,Normal,,3.4,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,5.33,5.28,Alert,Falling,0.0,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,2.61,2.59,Normal,,0.0,
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.05,1.99,Normal,,77.9,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.39,1.39,Normal,,6.0,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,5.45,5.30,Alert,Falling,30.0,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.46,1.42,Normal,,47.2,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.87,0.86,Normal,,27.2,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,1.80,1.80,Normal,,22.1,
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,1.73,1.71,Normal,,3.1,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,1.21,1.20,Normal,,6.5,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,2.14,2.12,Normal,,9.9,
"Menik Ganga (RB
26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,0.60,0.60,Normal,,1.7,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,1.33,1.33,Normal,,0.8,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.92,0.92,Normal,,15.5,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,1.12,1.05,Normal,,25.0,
,,Manampitiya ( Old),m,3.50,5.00,6.00,1.14,1.16,Normal,,7.3,
,Mahaweli Ganga,Manampitiya (HMIS),m,4.65,6.15,7.15,2.28,2.30,Normal,,7.3,
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-0.93,-0.94,Normal,,6.3,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,2.30,2.41,Normal,,5.1,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.22,1.21,Normal,,10.4,
,Badulu Oya,Taldena,m,3.00,4.00,5.00,0.75,0.72,Normal,,3.9,
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,2.57,2.57,Normal,,21.4,
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,2.27,2.02,Normal,,58.9,
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,1.76,1.82,Normal,,3.7,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,0.36,0.36,Normal,,0.0,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,0.93,0.93,Normal,,0.0,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,3.82,3.73,Normal,,21.9,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,2.42,2.34,Normal,,5.9,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,4.35,4.35,Alert,,41.0,
