දින්‍ය : 2026-07-14,,,,,
න්‍ගරය,උෂ්ණත්වය(සස. අංශක),,සාසේක්ෂ ආර්ද්‍රතාවය(%),,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනුරාධපුරය,33,26,90,60,ප්‍රධාන වශතයේ වැසි රහිෙ
මඩකලපුව,36,26,85,60,ප්‍රධාන වශතයේ වැසි රහිෙ
තකාළඹ,31,28,85,75,වැසි සරවල්පයක්
ගාල්ල,30,28,90,85,වැසි සරවල්පයක්
යාපනය,34,28,80,70,ප්‍රධාන වශතයේ වැසි රහිෙ
මහනුවර,29,23,90,70,වැසි සරවල්පයක්
නුවරඑළිය,22,13,90,70,වැසි සරවල්පයක්
රත්නපුරය,33,25,95,65,වැසි වාර කිහිපයක්
ිකුණාමලය,37,26,80,65,ප්‍රධාන වශතයේ වැසි රහිෙ
මේනාරම,31,28,90,0,ප්‍රධාන වශතයේ වැසි රහිෙ
