River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 pm","Water
Level at
9:00 pm",Remarks,"Water
Level
Rising or
Falling","12 Hr RF
in mm at
9.00 pm",,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,5.20,5.10,Minor Flood,Falling,-,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,6.91,6.84,Normal,,1.7,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,11.90,11.87,Normal,,,4.9,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,2.00,2.02,Normal,,1.9,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.16,1.15,Normal,,2.8,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.53,1.53,Normal,,,4.7,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.87,0.88,Normal,,1.8,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,5.57,5.57,Major Flood,,0.0,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,12.19,12.09,Minor Flood,Falling,,5.3,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,6.60,6.56,Alert,Falling,13.1,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,4.74,4.73,Alert,Falling,0.0,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,10.47,10.46,Major Flood,Falling,0.0,,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,5.61,5.61,Major Flood,,1.2,,
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.78,2.95,Normal,,3.2,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,3.03,3.02,Major Flood,Falling,11.1,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,6.37,6.34,Minor Flood,Falling,2.0,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.93,1.92,Normal,,2.8,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.99,0.98,Normal,,2.6,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,1.16,1.15,Normal,,0.6,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,0.38,0.36,Normal,,0.0,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.72,0.71,Normal,,0.0,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.26,1.26,Normal,,0.0,,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.25,-0.25,Normal,,0.4,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.79,0.79,Normal,,0.0,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.42,0.42,Normal,,0.0,,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,0.39,0.39,Normal,,0.0,,
,Mahaweli Ganga,Manampitiya (HMIS),m,3.00,4.30,6.00,0.20,0.24,Normal,,0.0,,
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-3.04,-3.04,Normal,,0.0,,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,2.80,2.83,Normal,,1.0,,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.50,1.50,Normal,,0.6,,
,Badulu Oya,Taldena,m,3.00,4.00,5.00,0.38,0.38,Normal,,0.0,,
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,1.52,1.52,Normal,,0.0,,
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,0.51,0.51,Normal,,0.0,,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,1.72,1.65,Normal,,0.0,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,3.39,3.35,Normal,,0.4,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,2.03,2.00,Normal,,0.8,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,4.96,4.92,Minor Flood,Falling,0.5,,
