River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
2:00 pm","Water
Level at
3.00 pm",Remarks,"Water Level
Rising or
Falling","6 Hr RF in
mm at 3.00
pm",
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,2.40,2.60,Normal,,-,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,4.19,4.12,Normal,,30.9,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,11.35,11.30,Normal,,0.0,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.95,2.22,Normal,,1.8,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.07,1.06,Normal,,3.4,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.97,0.98,Normal,,2.7,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.38,1.32,Normal,,20.0,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.48,2.45,Normal,,0.0,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,7.61,7.52,Normal,,0.0,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,2.79,2.74,Normal,,0.9,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,3.57,3.50,Normal,,0.0,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,6.00,5.98,Alert,Falling,0.0,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.57,3.56,Alert,Falling,0.0,
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.62,2.56,Normal,,0.9,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.97,1.97,Minor Flood,,5.0,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,6.37,6.33,Minor Flood,Falling,0.0,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,2.08,2.02,Normal,,0.0,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.32,1.31,Normal,,0.0,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,3.60,3.60,Normal,,0.2,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,2.51,2.46,Normal,,0.0,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,5.01,4.98,Minor Flood,Falling,0.6,
