River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
5:00 pm","Water
Level at
6:00 pm",Remarks,"Water
Level
Rising or
Falling","9 Hr RF in
mm at 6:00
pm",,,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,2.10,1.80,Normal,,-,,,
,Kelani Ganga,Hanwella,m,6.50,7.50,9.50,1.45,1.38,Normal,,0.0,,,
,Kelani Ganga,Glencourse,m,15.00,15.50,19.00,9.48,9.44,Normal,,0.0,,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,1.83,1.74,Normal,,2,,8.2,
,Gurugoda Oya,Holombuwa,m,3.00,4.00,6.00,0.50,0.50,Normal,,8.1,,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,7.00,0.68,0.63,Normal,,5.1,,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.71,0.65,Normal,,0.0,,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,1.11,1.15,Normal,,10.3,,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,5.40,5.34,Normal,,8.7,,,
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,1.38,1.41,Normal,,0.9,,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,2.76,2.83,Normal,,65.0,,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,3.72,3.69,Normal,,3.1,,,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.06,3.05,Normal,,51.9,,,
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,1.55,1.89,Normal,,5.0,,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.40,0.40,Normal,,9.4,,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,2.55,2.54,Normal,,6.6,,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,0.41,0.41,Normal,,4.9,,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.00,0.00,Normal,,,18.8,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,0.72,0.71,Normal,,0.0,,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,1.20,1.20,Normal,,1.3,,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,1.28,1.26,Normal,,0.0,,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.08,1.08,Normal,,0.5,,,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.27,-0.27,Normal,,0.0,,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.60,0.60,Normal,,3.4,,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.16,0.16,Normal,,1.3,,,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,0.09,0.10,Normal,,8.1,,,
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,-0.06,-0.05,Normal,,0.0,,,
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,-3.05,-3.05,Normal,,0.0,,,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,1.40,1.80,Normal,,0.0,,,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,0.99,0.99,Normal,,0.0,,,
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,0.29,0.23,Normal,,0.0,,,
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,1.88,1.88,Normal,,0.0,,,
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,0.40,0.40,Normal,,0.0,,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,0.49,0.48,Normal,,0.0,,,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,0.05,0.05,Normal,,0.0,,,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,-0.23,-0.23,Normal,,0.0,,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,1.94,1.93,Normal,,0.0,,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,0.83,0.83,Normal,,0.0,,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,1.86,1.85,Normal,,0.0,,,
