"Locations for Potential Risk
නායයෑපම් අවදානම ෙැවතිය හැකි ප්‍රපේශ fdjpahd mghaKs;s ,lq;fs;",,,
District,,,
,Level 1 (Yellow),Level 2 (Amber),Level 3 (Red)
,,,
Colombo,"* Seethawaka
Divisional Secretariat
Division(s) (DSD) and
surrounding areas.",,
Galle,,"* Nagoda and
* Neluwa
Divisional Secretariat
Division(s) (DSD) and
surrounding areas.",
Kalutara,"Palindanuwara and
* Bulathsinhala
Divisional Secretariat
Division(s) (DSD) and
surrounding areas.",,
Kandy,"* Ganga Ihala Korale
Divisional Secretariat
Division(s) (DSD) and
surrounding areas.","Pasbage Korale
Divisional Secretariat
Division(s) (DSD) and
surrounding areas.",
Kegalle,"Deraniyagala
Divisional Secretariat
Division(s) (DSD) and
surrounding areas.","* Dehiowita and
Yatiyanthota
Divisional Secretariat
Division(s) (DSD) and
surrounding areas.",
Matara,"* Kotapola
Divisional Secretariat
Division(s) (DSD) and
surrounding areas.","* Pitabeddara
Divisional Secretariat
Division(s) (DSD) and
surrounding areas.",
Nuwara Eliya,,"* Kotmale,
Ambagamuwa and
* Norwood
Divisional Secretariat
Division(s) (DSD) and
surrounding areas.",
Ratnapura,"Ratnapura-Ratnapura,
Kalawana,
Kuruwita and
Elapatha
Divisional Secretariat
Division(s) (DSD) and
surrounding areas.","Ayagama,
Pelmadulla,
Ratnapura and
Eheliyagoda
Divisional Secretariat
Division(s) (DSD) and
surrounding areas.",
