River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
11:00 pm","Water
Level at
12:00 am",Remarks,"Water Level
Rising or
Falling","15 Hr RF
in mm at
12.00 am"
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,2.90,3.00,Normal,,-
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,5.41,5.43,Normal,,2.7
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,12.80,12.75,Normal,,13.8
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.89,1.79,Normal,,20.3
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.20,1.17,Normal,,7.3
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.70,1.66,Normal,,20.7
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.97,1.00,Normal,,3.1
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,4.23,4.22,Minor Flood,Falling,20.5
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,10.00,9.98,Normal,,6.0
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,5.23,5.15,Normal,,21.0
,Maguru Ganga,Magura,m,4.00,6.00,7.50,3.72,3.70,Normal,,35.8
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,8.13,8.10,Major Flood,Falling,4.9
Gin Ganga,Gin Ganga,Tawalama,m,4.00,6.00,7.50,3.32,3.15,Normal,,36.6
(RB 09),Gin Ganga,Baddegama,m,3.50,4.00,5.00,4.32,4.32,Minor Flood,,5.1
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,2.23,2.23,Minor Flood,,27.9
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,6.88,6.91,Minor Flood,Rising,72.5
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,3.39,3.33,Normal,,76.5
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,2.12,2.08,Normal,,34.3
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,3.11,3.11,Normal,,24.9
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.74,1.74,Normal,,4.8
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,3.75,3.72,Alert,Falling,0.0
