"නැලගනහිර පලාත
fpof;F
Eastern",6,"අම්පාර
mk;ghiw
Ampara",08 DS Divisions,"Flood / Heavy
Rain / High
Wind /Tree
Fallen",2026.09.18 - 21,37,127,,,,,37,,,,,,
,දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,37,127,0,0,0,0,37,0,0,0,0,0,
,පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total,,,,,37,127,0,0,0,0,37,0,0,0,0,0,
"උතුරුමැද පලාත
tlkj;jpa
khfhzk;
North Central",7,"අනුරාධ්‍පුර
m.Guk;
Anuradhapura",02 DS Division,"Heavy Rain /
High Wind",2026.09.18-21,3,10,,,,,3,,,,,,
,දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,3,10,0,0,0,0,3,0,0,0,0,0,
,පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total,,,,,3,10,0,0,0,0,3,0,0,0,0,0,
"බස්ත්‍රනාහිර පලාත
Nky; khfhzk;
Western",8,"ලකාළඹ
nfhOk;G Colombo",05 DS Division,"Flood / Heavy
Rain / High
Wind /Tree
Fallen/",2026.09.18-21,12,59,,,,,10,,,,,,
,දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,12,59,0,0,0,0,10,0,0,0,0,0,
,9,"ගම්පහ
fk;g`h Gampaha",03 DS Division,"Flood / Heavy
Rain / High
Wind /Tree
Fallen/",2026.09.22,100,366,,,,1,99,,,,,,
,දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,100,366,0,0,0,1,99,0,0,0,0,0,
,පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total,,,,,112,425,0,0,0,1,109,0,0,0,0,0,
"ස්ත්‍බරගමුව පලාත
rg;ufKt
Sabaragamuwa",10,"කෑගේල
Nffhiy
Kegalle",09 DS Division,"Flood / Heavy
Rain / High
Wind /Tree
Fallen",2026.09.18-21,30,121,1,,1,,13,,1,,,,
,දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,30,121,1,0,1,0,13,0,1,0,0,0,
,11,"රත්නපුර uj;jpdGhp
Rathnapura",11 DS Division,Heavy Rain,2026.09.20,1,4,,,,,1,,,,,,
,,,,"Heavy Rain /
Lightning",2026.09.19-20,3,15,,,,,3,,,,,,
,,,,Flood,2026.09.20,1,3,,,,,1,,,,,,
,,,,"Heavy Rain /
Landslide",2026.09.20,3,8,,,,,2,,,,,,
,,,,"Cutting Failiure /
Heavy Rain /
High Wind",2026.09.20,5,12,,,,,5,,,,,,
,,,,"Landslide Risk /
Cutting Failure",2026.09.21,87,292,,,,,,,,,,,
,,,,High Wind,2026.09.20,2,7,,,,,2,,,,,,
,,,,"Heavy Rain /
Tree fallen",2026.09.20,2,5,,,,,2,,,,,,
,,,,High Wind,2026.09.20,6,18,,,,,6,,,,,,
,,,,High Wind,2026.09.22,23,131,,,,,7,,,,,,
,දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,133,495,0,0,0,0,29,0,0,0,0,0,
,පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total,,,,,163,616,1,0,1,0,42,0,1,0,0,0,
