பிரதான நகரங்களுக்கான வானிலை முன்னறிவித்தல் தி க தி : 2 0 2 6 - 0 3 - 1 0,,,,,
நகரம்,வவப்பநிலை (0C),,சாரீரப்பதன் (%),,வானிலை
,உச்ச,குலைந்த,உச்ச,குலைந்த,
அனுராதபுரம்,33,22,90,55,பிரதானமாக சீரான வானிலை
மட்டக்களப்பு,31,24,95,70,பிரதானமாக சீரான வானிலை
வகாழும்பு,31,24,90,60,பிரதானமாக சீரான வானிலை
காலி,30,25,90,70,"பி.ப. 2.00 மணிக்குப் பின்னர் மலை அல்ைது இடியுடன் கூடிய மலை பபய்யும்
சாத்தியம்"
யாழ்ப்பாணம்,32,22,90,55,சிறிதளவில் மலை பபய்யும்
கண்டி,32,18,95,55,பிரதானமாக சீரான வானிலை
நுவவரலியா,22,8,95,50,"பி.ப. 2.00 மணிக்குப் பின்னர் மலை அல்ைது இடியுடன் கூடிய மலை பபய்யும்
சாத்தியம்"
இரத்தினபுரி,36,23,95,50,"பி.ப. 2.00 மணிக்குப் பின்னர் மலை அல்ைது இடியுடன் கூடிய மலை பபய்யும்
சாத்தியம்"
திருககாணமலை,31,25,85,65,சிறிதளவில் மலை பபய்யும்
மன்னார்,32,24,90,65,"பி.ப. 2.00 மணிக்குப் பின்னர் மலை அல்ைது இடியுடன் கூடிய மலை பபய்யும்
சாத்தியம்"
