දිනය : 2026-03-10,,,,,
නගරය,උෂණ් ත්වය(සෙ. අංශක),,ොසේක්ෂ ආර්ද්‍රතාවය(%),,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනුරාධපුරය,33,22,90,55,ප්‍රධාන වශයයන් වැසි රහිත
මඩකලපුව,31,24,95,70,ප්‍රධාන වශයයන් වැසි රහිත
යකාළඹ,31,24,90,60,ප්‍රධාන වශයයන් වැසි රහිත
ගාල්ල,30,25,90,70,සවස 2.00න් පසුව වැසි යහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
යාපනය,32,22,90,55,වැසි සව් ල්පයක්
මහනුවර,32,18,95,55,ප්‍රධාන වශයයන් වැසි රහිත
නුවරඑළිය,22,8,95,50,සවස 2.00න් පසුව වැසි යහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
රත්නපුරය,36,23,95,50,සවස 2.00න් පසුව වැසි යහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
ත්‍රිකුණාමලය,31,25,85,65,වැසි සව් ල්පයක්
මන්නාරම,32,24,90,65,සවස 2.00න් පසුව වැසි යහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
