River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water
2
Level
i
Rising or
Falling","4 Hr RF
n mm at
8.30 am",
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,1.70,1.70,Normal,,-,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,4.54,4.56,Normal,,68.5,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,12.18,12.05,Normal,,81.6,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,1.82,1.80,Normal,,61.3,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.16,1.06,Normal,,55.8,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.18,1.14,Normal,,76.9,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.66,0.66,Normal,,10.6,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,1.89,1.99,Normal,,11.1,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,7.90,7.93,Normal,,101.1,
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,3.63,3.52,Normal,,49.8,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,5.20,5.23,Alert,Rising,83.7,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,5.81,5.82,Alert,Rising,125.2,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.27,3.34,Normal,,64.8,
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,3.47,3.36,Normal,,69.5,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.93,1.01,Normal,,18.4,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,5.77,5.83,Alert,Rising,63.8,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,2.60,2.52,Normal,,25.4,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.21,1.15,Normal,,35.4,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,1.01,1.01,Normal,,6.5,
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,0.58,0.58,Normal,,0.0,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.76,0.76,Normal,,0.0,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.23,1.23,Normal,,0.0,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.19,-0.19,Normal,,0.0,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.70,0.70,Normal,,0.0,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.32,0.31,Normal,,0.0,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,0.20,0.20,Normal,,24.7,
,Mahaweli Ganga,Manampitiya (HMIS),m,3.00,4.30,6.00,-0.06,-0.05,Normal,,0.0,
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,-2.92,-2.95,Normal,,0.0,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,2.44,2.51,Normal,,31.1,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.51,1.49,Normal,,71.4,
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,0.35,0.34,Normal,,1.0,
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,1.49,1.48,Normal,,0.0,
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,0.38,0.38,Normal,,0.0,
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,0.98,0.98,Normal,,0.0,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,NA,NA,,,-,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,0.33,0.34,Normal,,14.8,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.79,2.90,Normal,,41.7,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.84,1.84,Normal,,59.3,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,3.28,3.34,Alert,Rising,109.6,
