River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
11:00 am","Water
Level at
12:00
Noon",Remarks,"Water Level
Rising or
Falling","3 Hr RF in
mm at
12.00 Noon",,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,2.30,2.30,Normal,,-,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,4.82,4.70,Normal,,0.0,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,12.08,11.99,Normal,,0.0,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,2.00,2.21,Normal,,1.2,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.00,1.00,Normal,,0.0,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.42,1.40,Normal,,0.9,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.96,0.96,Normal,,0.0,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,3.46,3.49,Alert,Rising,0.0,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,10.01,10.01,Alert,,0.0,,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,5.17,5.10,Normal,,0.0,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,4.48,4.40,Alert,Falling,0.0,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,8.17,8.17,Major Flood,,0.0,,
Gin Ganga,Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.00,2.00,Normal,,0.0,,
(RB 09),Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.95,3.93,Alert,Falling,0.0,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.19,1.16,Normal,,0.0,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,4.38,4.32,Normal,,0.0,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,0.85,0.86,Normal,,,0.5,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.28,0.28,Normal,,0.0,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,2.68,2.58,Normal,,0.0,,
