River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
11:00 pm","Water
Level at
12:00
midnight",Remarks,"Water
Level
Rising or
Falling","15 Hr RF
in mm at
12.00
midnight",,,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,5.30,5.30,Minor Flood,,-,,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,6.68,6.62,Normal,,1.7,,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,11.84,11.84,Normal,,,5.7,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,2.02,2.02,Normal,,,5.4,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.14,1.13,Normal,,2.8,,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.54,1.55,Normal,,11.3,,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.88,0.87,Normal,,1.8,,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,5.57,5.56,Major Flood,Falling,0.0,,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,12.07,12.01,Minor Flood,Falling,8.0,,,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,6.47,6.43,Alert,Falling,13.1,,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,4.68,4.64,Alert,Falling,0.0,,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,10.41,10.38,Major Flood,Falling,1.4,,,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,5.61,5.61,Major Flood,,1.2,,,
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.91,2.89,Normal,,3.2,,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,2.98,2.97,Major Flood,Falling,11.3,,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,6.30,6.27,Minor Flood,Falling,2.8,,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.91,1.90,Normal,,,5.5,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.98,0.98,Normal,,10.1,,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,1.15,1.14,Normal,,1.5,,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,0.36,0.36,Normal,,0.0,,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.70,0.70,Normal,,0.0,,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.28,1.31,Normal,,0.0,,,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.23,-0.23,Normal,,10.5,,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.78,0.78,Normal,,0.0,,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.42,0.42,Normal,,0.0,,,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,0.39,0.39,Normal,,0.0,,,
,Mahaweli Ganga,Manampitiya (HMIS),m,3.00,4.30,6.00,0.30,0.32,Normal,,0.0,,,
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-2.70,-2.52,Normal,,0.0,,,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,2.93,2.94,Normal,,2.1,,,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.49,1.49,Normal,,0.6,,,
,Badulu Oya,Taldena,m,3.00,4.00,5.00,0.37,0.37,Normal,,0.0,,,
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,1.51,1.51,Normal,,0.0,,,
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,0.51,0.51,Normal,,0.0,,,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,1.52,1.43,Normal,,0.0,,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,3.32,3.30,Normal,,1.5,,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.96,1.95,Normal,,0.8,,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,4.84,4.82,Minor Flood,Falling,0.5,,,
