River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 AM","Water
Level at
9:00 AM",Remarks,"Water
Level
Rising or
Falling","24 Hr RF
in mm at
8:30 AM",,,,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,0.90,1.25,Normal,,-,,,,
,Kelani Ganga,Hanwella,m,6.50,7.50,9.50,1.07,1.06,Normal,,0.5,,,,
,Kelani Ganga,Glencourse,m,15.00,15.50,19.00,9.45,9.41,Normal,,,3.5,,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,1.80,1.61,Normal,,14.5,,,,
,Gurugoda Oya,Holombuwa,m,3.00,4.00,6.00,0.18,0.18,Normal,,0.0,,,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,7.00,1.05,1.04,Normal,,23.3,,,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.53,0.53,Normal,,15.0,,,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,0.41,0.39,Normal,,,6.9,,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,4.85,4.85,Normal,,,7.1,,,
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,1.54,1.53,Normal,,,5.3,,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,1.10,1.12,Normal,,1,,0.3,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,1.80,1.80,Normal,,1,,2.0,,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,1.42,1.43,Normal,,,4.1,,,
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,1.35,1.38,Normal,,20.4,,,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.30,0.25,Normal,,0.0,,,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,2.22,2.22,Normal,,1.4,,,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,0.34,0.34,Normal,,0.0,,,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,-0.05,-0.05,Normal,,,4.7,,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,0.53,0.53,Normal,,0.0,,,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,0.13,0.17,Normal,,0.0,,,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.65,0.66,Normal,,16.7,,,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,0.87,0.87,Normal,,0.0,,,,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.30,-0.30,Normal,,0.0,,,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.53,0.53,Normal,,1.0,,,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.14,0.14,Normal,,,3.6,,,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,0.25,0.25,Normal,,0.0,,,,
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,-0.15,-0.15,Normal,,0.0,,,,
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,-3.22,-3.28,Normal,,0.0,,,,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,1.88,1.90,Normal,,0.0,,,,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.19,1.18,Normal,,,5.1,,,
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,0.14,0.18,Normal,,0.0,,,,
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,1.62,1.62,Normal,,0.0,,,,
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,0.40,0.40,Normal,,0.0,,,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,0.36,0.36,Normal,,0.0,,,,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,-0.12,-0.12,Normal,,0.0,,,,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,-0.28,-0.28,Normal,,0.3,,,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,1.77,1.77,Normal,,0.5,,,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,0.73,0.73,Normal,,0.0,,,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,0.41,0.41,Normal,,0.0,,,,
