Province,09th Jan.,,,10th Jan.,11th Jan.,,
Northern,,Very strong winds at,,"Strong winds
(50-60) kmph at times","Winds up to
(30-40) kmph at
times",,
,,times about (50-60),,,,,
,,kmph and gusting up,,,,,
,,to 70 kmph,,,,,
North-Central,,Very strong winds at,,"Fairly strong winds
(40-50) kmph at times","Winds up to
(30-40) kmph at
times",,
,,times about (50-60),,,,,
,,kmph and gusting up,,,,,
,,to 70 kmph,,,,,
Eastern,,Very strong winds at,,"Fairly strong winds
(40-50) kmph at times","Winds up to
(30-40) kmph at
times",,
,,times about (50-60),,,,,
,,kmph and gusting up,,,,,
,,to 70 kmph,,,,,
Sabaragamuwa,"Winds up to
(30-40) kmph at times",,,"Winds up to
(30-40) kmph at times","Winds up to
(30-40) kmph at
times",,
Western,"Strong winds
(50-60) kmph at times",,,"Fairly strong winds
(40-50) kmph at times","Winds up to
(30-40) kmph at
times",,
Southern,"Winds up to
(30-40) kmph at times",,,"Winds up to
(30-40) kmph at times",,Winds up to,
,,,,,,(30-40) kmph at,
,,,,,,times,
Uva,"Strong winds
(50-60) kmph at times",,,"Winds up to
(30-40) kmph at times",,Winds up to,
,,,,,,(30-40) kmph at,
,,,,,,times,
North-Western,"Strong winds
(50-60) kmph at times",,,"Strong winds
(50-60) kmph at times","Winds up to
(30-40) kmph at
times",Winds up to,
,,,,,,(30-40) kmph at,
,,,,,,times,
Central,"Strong winds
(50-60) kmph at times",,,"Fairly strong winds
(40-50) kmph at times","Winds up to
(30-40) kmph at
times",,
