Province,District,09th Jan.,,,10th Jan.,,,11th Jan.
Northern,Mullaittivu,,Showers or,,,Showers or,,"Several spells of
showers"
,,,thundershowers,,,thundershowers,,
,,,at times ; Heavy,,,at times ;Fairly,,
,,,rainfall above 100,,,heavy rainfall,,
,,,mm at some,,,about 50 mm at,,
,,,places,,,some places,,
,Jaffna,,Showers or,,"Showers or
thundershowers
at times; Fairly
heavy rainfall
about (75- 100)",Showers or,,"Several spells of
showers"
,,,thundershowers,,,thundershowers,,
,,,at times ; Heavy,,,at times; Fairly,,
,,,rainfall above 100,,,heavy rainfall,,
,,,mm at some,,,about (75- 100),,
,,,places,,,,,
