தன்ைியக்ை வரைிக நிக யம்,மரவட்டம்,மகைவீழ்ச்சி (மி.மீ)
பகஸ்மபவ,தைரழும்பு,225.5
இைத்ேைாலன,தைரழும்பு,201.9
பண்டாைகே,களுத்துலற,173.1
கிலிேமை,இரத்திைபுரி,161.0
இரத்திைபுரி,இரத்திைபுரி,130.5
