River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 pm","Water
Level at
9.00 pm",Remarks,"Water Level
Rising or
Falling","12 Hr RF
in mm at
9.00 pm",
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,3.05,3.20,Normal,,-,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,5.50,5.39,Normal,,0.0,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,12.12,12.08,Normal,,,9.5
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,2.10,2.10,Normal,,0.0,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.34,1.32,Normal,,0.0,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.91,0.95,Normal,,0.0,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.40,1.36,Normal,,2.6,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.56,2.57,Normal,,0.9,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,8.72,8.72,Normal,,0.0,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,5.45,5.36,Alert,Falling,0.4,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,3.85,3.87,Normal,,0.0,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,6.27,6.28,Alert,Rising,0.0,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.56,3.56,Alert,,30.0,
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.35,2.30,Normal,,1.3,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.66,1.66,Alert,,0.0,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,6.00,5.98,Alert,Falling,0.0,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.78,1.78,Normal,,0.0,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.28,1.27,Normal,,0.0,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,1.80,3.50,5.00,3.78,3.65,Minor Flood,Falling,0.0,
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,4.05,4.03,Normal,,0.0,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,4.60,4.58,Normal,,0.0,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,4.31,4.26,Normal,,0.0,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,3.28,3.22,Normal,,0.0,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,5.54,5.50,Major Flood,Falling,0.0,
