3,"ත්‍රීකුණො ලය
jp.kiy
Trincomalee",Verugal,Heavy Rain & Flood,2024.01.12,113,341,,,,,,,,1,113,341,"Verugalampathi hindu
maha Vidyalaya"
,,Kinniya,,,194,483,,,,,,,,,,,
,,Seruwila,,,40,130,,,,,,,,1,40,130,
,,Kanthale,,,1,3,,,,,1,,,,,,
දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,348,957,0,0,0,0,1,0,0,2,153,471,
4,"ඩකලපුව
kl;lf;fsg;G
Batticaloa",Eravur Pattu,Flood,2024.01.09,827,2632,,,,,,,,2,203,595,"1.Gnaesha Vidyalam
2.Alimagal Vidyalayam"
,,Koralaipattu Central,,2024.01.13,1,5,1,,,,,,,,,,
දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,828,2637,1,0,0,0,0,0,0,2,203,595,
5,"අම්පොර
mk;ghiw
Ampara",Karaitheevu,Heavy Rain / Flood,2024.01.09,2356,7189,,,,,,,,1,51,114,
,,Pothuvil,,2024.01.09,8172,26285,,,,,,,,,,,
,,Addalachchenei,,2024.01.09,7372,25231,,,,,,,,2,52,167,
,,Mahaoya,,2024.01.12,1,2,,,,,,,,,,,
,,Ampara,,2024.01.09,651,2572,,,,,,,,1,14,41,
,,Lahugala,,2024.01.09,2892,8281,,,,,1,,,1,21,66,
,,Samanthurai,,2024.01.09,1263,4423,,,,,,,,2,112,372,
,,Thirukkovil,,2024.01.09,8275,26251,,,,,30,,,,,,
,,Sainthamaruthu,,2024.01.09,632,2215,,,,,,,,1,11,38,
,,Damana,,2024.01.09,378,1223,,,,4,4,,,1,42,150,
,,Kalmunai North,,2024.01.10,499,1394,,,,,1,,,,,,
,,Ninthavur,,2024.01.10,237,687,,,,,,,,,,,
,,Alaiyadiwembu,,2024.01.10,5957,18687,,,,,,,,1,53,157,
,,Uhana,,2024.01.10,125,399,,,,,11,,,,,,
,,Akkaraipattu,,2024.01.10,8214,30604,,,,,2,,,2,96,295,
,,Irakkamam,,2024.01.10,136,439,,,,,,,,1,14,47,
,,Navithanveli,,2024.01.10,1,5,,,,,,,,,,,
,,Kalmunai,,2024.01.10,950,3712,,,,,,,,,,,
,,Padiyathalawa,,2024.01.11,31,104,,,,,14,,,,,,
,,Dehiaththakandiya,,2024.01.11,3,7,,,,,,,,,,,
දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,48145,159710,0,0,0,4,63,0,0,13,466,1447,
පළොත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total,,,,,49321,163304,1,0,0,4,64,0,0,17,822,2513,
