"දදනික තත්ත්ව වාර්තාව- ශ්‍රී ලංකාව/epiyik mwpf;if-,yq;if/Situation Report- Sri Lanka දිනය/jpfjp /Date 30th April 2025 at 0900hrs",,,,,,,,,,,,,,,,,,
"පළාත khfhzk;
Province",#,"පරිපාලන ප්‍රලද්ශය நிரவ் ாகப் பிரிவு
Administrative purview",,"ආපදාව
mdHj;jk
Disaster","ආරම්භක දිනය
mdu;j;jk;
Muk;gpj;j jpfjp
Date of
commenced","බලපෑමට ලක්වු
ghjpf;fg;gl;l Affected",,"මිය යෑම්
kuzq;f
s;
Deaths","තුවාලවු
පුද්ගලයින්
fhakil
e;NjhH
Injured
People","අතුරුදහ
න්වූ
පුද්ගලයින්
fhzhky;
NghNdhH
Missing
People","නිවාස්ත්‍ හානි Nrjkile;j
tPLfs; Houses
Damaged",,"ලවනත් හානි பிற பாதிப்புகள்
Other Damages",,"ආරක්ිත ස්ත්‍රථාන ghJfhg;ghd
miktplk; Safe Location",,,"ලවනත් කරුණු
NtW Fwpg;Gf;fs; Remarks"
,,"දිස්ත්‍රික්කය
மாவடட் ம்
District","ප්‍රා.ලේ. ලකා
gpuNjr nra.gp DS
Division",,,"පවුේ ස්ත්‍ංඛ්‍යාව
FLk;gq;fs;
Families","පුද්ගලයින්
egHfs;
People",,,,"පූර්ණ හානි
KOik Fully","අර්ධ හානි
gFjpasT
Partially","කුඩා හා මධය
පරිමාණ වයාපාරික
ස්ත්‍රථාන சிறிய,
நடுத்தர,
நிறுவனங்களி
ன் சேதங்கள்;
Small, Medium,
Enterprises
Damages","ඉතා වැදගත් යටිතල
පහසුකම් වලට වූ
හානි mbg;gilf;
fl;likg;Gf;fs;
Damages to
critical
Infrastructure","ආරක්ිත
ස්ත්‍රථාන
ස්ත්‍ංඛ්‍යාව
vz;zpf;i
f No.
of Safety
Locations","පවුේ
ස්ත්‍ංඛ්‍යාව
FLk;gq;f
s;
Families","පුද්ගලයින්
egHfs;
Persons",
"වයඹ පලාත
tlNky; khfhzk;
North Western",1,"පුත්තලම
Gj;jsk ;
Puttalam",Kalpitiya,Heavy Rain,2025.04.23,2,10,,,,,,,,,,,
,දිස්ික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,2,10,0,0,0,0,0,0,0,0,0,0,
,පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total,,,,,2,10,0,0,0,0,0,0,0,0,0,0,
"ඌව
Cth khfhzk;
Uva",2,"බදුල්ල
gJs;is
Badulla",Hali Ela,Lightning,2025.04.27/28,13,49,1,7,,,13,,,,,,
,දිස්ික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,13,49,1,7,0,0,13,0,0,0,0,0,
,පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total,,,,,13,49,1,7,0,0,13,0,0,0,0,0,
"උතුරු පලාත
tl khfhzk;
Northen",3,"යාපනය
aho;g;ghzk;
Jaffna",Uduvil,Lightning,2025.04.26,2,7,,,,,1,,,,,,
,,,Kopay,,2025.04.26,1,5,,,,,1,,,,,,
,,,Chavakachcheri,,2025.04.26,2,3,,,,,2,,,,,,
,,,Maruthankeny,,2025.04.27,1,4,,1,,,,,,,,,
,දිස්ික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,6,19,0,1,0,0,4,0,0,0,0,0,
,පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total,,,,,6,19,0,1,0,0,4,0,0,0,0,0,
"සබරගමුව පලාත
rg;ufKt
Sabaragamuwa",4,"කෑගල්ල
Nffhiy
Kegalle",Dehiowita,Lightning,2025.04.27,2,7,,,,,2,,,,,,
,,,Galgamuwa,Tree Fallen,2025.04.27/28,2,8,,,,,2,,,,,,
,,,Bulathsinghala,Lightning,2025.04.28,1,4,,,,,1,,,,,,
,,,Deraniyagala,High Wind,2025.04.28,2,9,,,,,2,,,,,,
,,,Mawanella,Lightning/Tree Fallen,2025.04.29,2,7,,,,,2,,,,,,
,දිස්ික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,9,35,0,0,0,0,9,0,0,0,0,0,
,පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total,,,,,9,35,0,0,0,0,9,0,0,0,0,0,
"උතුරුමැද පලාත
tlkj;jpa
khfhzk ;
North Central",5,"අනුරාධ්‍පුර
m.Guk;
Anuradhapura",Madyama Nu.Pa.,Lightning,2025.04.27,,5,,,,,,,,,,,
,,,Kahatagasdigiliya,High Wind,2025.04.16/21/26,12,44,,,,,12,,,,,,
,,,Galnewa,Heavy Rain/High Wind,2025.04.27,2,8,,,,,2,,,,,,
,,,Mihinthale,High Wind,2025.04.25,1,2,,,,,1,,,,,,
,,,Palugaswewa,Lightning,2025.04.22,1,3,,,,,1,,,,,,
,දිස්ික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,16,62,0,0,0,0,16,0,0,0,0,0,
,පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total,,,,,16,62,0,0,0,0,16,0,0,0,0,0,
මුළු එකතුව nkhj;jf; $l;Lj;njhif GRAND TOTAL,,,,,,46,175,1,8,0,0,42,0,0,0,0,0,
ආපදා කළමනාකරණ මධ්‍යස්ථානය /mdHj;j Kfhikj;Jt epiyak;/ Disaster Management Centre,,,,,,,,,,,,,,,,,,
,,,,,,,"හදිසි ඇමතුම් / njhiyNgrp / Hot Lines: 117, 0112670002, 0112136136",,,,,,,,,,,
