ස්ථානය,ශ්‍රී ලංකා වායුගුණ තත්තත්තව ෛර්ශකය (SL AQI),,,,,
,"ඊපේ දින තත්තත්තවය
(06.01.2026)",,,"අෛ දින තත්තත්තවය
(07.01.2026)",,
නකොළඹ නගරය (කොලගුණ විදයො නදපොර්තනේේතුව),,92,,,92 - 100,
යොපනය නගරය (කොලගුණ විදයො නදපොර්තනේේතුව),,124,,,106 - 114,
කුරුණෑගල නගරය (පළොත්ත පොරිසරික අධිකොරිය),,76,,,68 - 76,
වවුනියොව නගරය (කොලගුණ විදයො නදපොර්තනේේතුව),,84,,,72 - 80,
ම නුවර නගරය (දුේරිය නැවතුේනපොළ),,90,,,80 - 88,
කෑගල්ල නගරය (තැපැල් කොර්යොලය),,80,,,72 - 80,
ගොල්ල කරොපිටිය,,78,,,84 - 92,
නුවරඑළිය මොගස්නතොට,,52,,,52 - 60,
රත්තනපුර ගැටේගම,,84,,,82 - 90,
ඇඹිලිපිටිය නගරය (තැපැල් කොර්යොලය),,80,,,80 - 88,
පුත්තතලම නගරය (කොලගුණ විදයො නදපොර්තනේේතුව),,128,,,112 - 120,
දුල්ල නගරය (දිස්ත්‍රික් නල්කේ කොර්යොලය),,56,,,56 - 64,
ත්‍රිකුණොමලය නගරය (කොලගුණ විදයො නදපොර්තනේේතුව),,102,,,92 - 100,
මුලතිවු නගරය (කොලගුණ විදයො නදපොර්තනේේතුව),,76,,,64 - 72,
මඩකලපුව (කොලගුණ විදයො නදපොර්තනේේතුව),,68,,,60 - 68,
කළුතර නගරය (තැපැල් කොර්යොලය),,80,,,72 - 80,
ේ ේනතොට නගරය (තැපැල් කොර්යොලය),,64,,,56 - 64,
නපොනළොේනරුව නගරය (කොලගුණ විදයො නදපොර්තනේේතුව),,102,,,92 - 100,
අනුරොධ්‍පුර නගරය (කොලගුණ විදයො නදපොර්තනේේතුව),,110,,,100 - 108,
නමොණරොගල නගරය (කොලගුණ විදයො නදපොර්තනේේතුව),,60,,,52 - 60,
