LOCATION,PAST 24 HRS,,,,PREDICTED FOR NEXT 24 HRS,,,
,"PARTICULATE
MATTER LEVEL
(PM ) µg/m3
2.5","SRI LANKA AIR
QUALITY INDEX
(SL AQI)",,,"PARTICULATE
MATTER LEVEL
(PM ) µg/m3
2.5","SRI LANKA AIR
QUALITY INDEX
(SL AQI)",,
Colombo 07 (MET Department),46,,92,,48,,92 - 100,
Jaffna (MET Department),62,,124,,55,,106 - 114,
Kurunegala (PEA),38,,76,,36,,68 - 76,
Vavuniya (MET Department),42,,84,,38,,72 - 80,
Kandy (Railway Station),45,,90,,42,,80 - 88,
Kegalle (Post Office),40,,80,,38,,72 - 80,
Galle (Karapitiya),39,,78,,44,,84 - 92,
Nuwara Eliya (Magasthota),26,,52,,28,,52 - 60,
Rathnapura (Gatangama),42,,84,,43,,82 - 90,
Embilipitiya (Post Office),40,,80,,42,,80 - 88,
Puttalam (MET Department),64,,128,,58,,112 - 120,
Badulla (District Secretariat),28,,56,,30,,56 - 64,
Trincomalee (MET Department),51,,102,,48,,92 - 100,
Mullaitivu (MET Department),38,,76,,34,,64 - 72,
Batticaloa (MET Department),34,,68,,32,,60 - 68,
Kalutara (Post Office),40,,80,,38,,72 - 80,
Hambantota (Post Office),32,,64,,30,,56 - 64,
Polonnaruwa (MET Department),51,,102,,48,,92 - 100,
Anuradhapura (MET Department),55,,110,,52,,100 - 108,
Monaragala (MET Department),30,,60,,28,,52 - 60,
