,0 - 50,,,51 - 100,,,101 - 150,,,151 - 200,,,201 - 300,,,301 - 500,
,යහෙත්ත,,,මධ්‍යයම,,,සුළු වශපයන් අහිතකර යි,,,අහිතකර යි,,,ඉතා අහිතකර යි,,,අනතුරුෛායක යි,
