River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am",,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,1.10,0.95,Normal,,-,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,0.84,0.85,Normal,,17.9,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,9.06,9.00,Normal,,1.2,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.52,1.32,Normal,,14.9,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.48,0.48,Normal,,5.9,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.29,0.35,Normal,,0.5,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.56,0.55,Normal,,2.0,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,0.68,0.69,Normal,,17.0,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,5.76,5.77,Normal,,36.7,,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,2.15,2.05,Normal,,8.2,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,1.28,1.35,Normal,,0.7,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,3.37,3.34,Normal,,42.3,,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,2.09,2.09,Normal,,48.2,,
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,1.64,1.59,Normal,,30.5,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.55,0.56,Normal,,9.4,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,3.64,3.60,Normal,,22.1,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,0.69,0.69,Normal,,11.5,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.32,0.32,Normal,,0.4,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,1.15,1.15,Normal,,0.0,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,0.95,0.93,Normal,,0.0,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.93,0.93,Normal,,1.3,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.63,1.63,Normal,,0.5,,
"Menik Ganga (RB
26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,0.37,0.36,Normal,,0.0,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,1.38,1.35,Normal,,1.4,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.79,0.92,Normal,,19.2,,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,1.84,1.74,Normal,,32.4,,
,,Manampitiya ( Old),m,3.50,5.00,6.00,0.04,0.04,Normal,,0.3,,
,Mahaweli Ganga,Manampitiya (HMIS),m,4.65,6.15,7.15,1.18,1.18,Normal,,0.3,,
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-1.47,-1.30,Normal,,18.5,,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,1.30,1.30,Normal,,0.3,,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,0.77,0.77,Normal,,2.2,,
,Badulu Oya,Taldena,m,3.00,4.00,5.00,0.77,0.76,Normal,,29.3,,
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,1.78,1.82,Normal,,0.0,,
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,0.60,0.60,Normal,,0.0,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,1.24,1.24,Normal,,0.0,,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,0.39,0.39,Normal,,0.0,,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,0.68,0.68,Normal,,0.0,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.00,2.00,Normal,,0.0,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.01,1.01,Normal,,0.0,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,0.76,0.76,Normal,,0.0,,
