River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am",,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,1.00,0.60,Normal,,-,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,0.52,0.50,Normal,,0.0,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,8.63,8.61,Normal,,0.0,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.53,1.29,Normal,,0.0,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.32,0.32,Normal,,0.0,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.19,0.21,Normal,,0.0,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.40,0.41,Normal,,0.0,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,0.62,0.43,Normal,,0.0,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,4.15,4.15,Normal,,0.0,,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,0.74,0.73,Normal,,4.6,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,0.86,0.86,Normal,,0.0,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,1.77,1.70,Normal,,0.0,,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,1.30,1.30,Normal,,0.0,,
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,1.09,1.09,Normal,,0.0,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.39,0.30,Normal,,1.1,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,2.38,2.39,Normal,,0.0,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,0.38,0.36,Normal,,0.0,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.17,0.17,Normal,,0.0,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,0.98,1.00,Normal,,0.0,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,0.61,0.61,Normal,,0.0,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.68,0.68,Normal,,0.0,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.49,1.49,Normal,,0.0,,
"Menik Ganga (RB
26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.06,-0.06,Normal,,0.0,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,1.06,1.06,Normal,,1.7,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.53,0.53,Normal,,0.0,,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,0.68,0.69,Normal,,13.0,,
,,Manampitiya ( Old),m,3.50,5.00,6.00,-0.59,-0.57,Normal,,15.8,,
,Mahaweli Ganga,Manampitiya (HMIS),m,4.65,6.15,7.15,0.55,0.57,Normal,,15.8,,
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-2.31,-2.33,Normal,,12.8,,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,1.20,1.22,Normal,,0.4,,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,0.68,0.67,Normal,,0.0,,
,Badulu Oya,Taldena,m,3.00,4.00,5.00,0.61,0.61,Normal,,8.,3,
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,1.80,1.80,Normal,,1.6,,
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,0.59,0.59,Normal,,2.6,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,1.23,1.22,Normal,,0.0,,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,0.34,0.34,Normal,,4.2,,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,0.45,0.45,Normal,,2.0,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,1.87,1.87,Normal,,0.0,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,0.85,0.85,Normal,,0.0,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,0.52,0.52,Normal,,0.0,,
