River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
2:00 pm","Water
Level at
3:00 pm",Remarks,"Water Level
Rising or
Falling","06 Hr RF
in mm at
3.00 P.M",
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,2.25,2.20,Normal,,-,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,3.62,3.55,Normal,,1.2,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,10.58,10.57,Normal,,6.0,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.89,1.88,Normal,,6.1,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.94,0.92,Normal,,0.0,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.83,1.03,Normal,,9.9,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.93,0.93,Normal,,0.0,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.20,2.22,Normal,,0.0,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,7.60,7.57,Normal,,1.8,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,2.83,2.73,Normal,,1.7,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,4.75,4.67,Alert,Falling,3.7,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,6.00,6.03,Alert,Rising,3,2.2
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.19,3.19,Normal,,2.6,
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.52,2.51,Normal,,15.8,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.78,1.84,Minor Flood,Rising,68.0,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,6.85,6.80,Minor Flood,Falling,3,0.0
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,2.24,2.17,Normal,,2.3,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.62,1.85,Normal,,3,0.9
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,1.88,1.87,Normal,,0.0,
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,5.66,5.57,Normal,,0.0,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,3.05,3.04,Normal,,0.0,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.79,1.77,Normal,,0.0,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,2.40,2.33,Normal,,0.0,
