River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am"
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,3.25,3.00,Normal,,-
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,5.15,5.08,Normal,,5.9
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,12.08,12.01,Normal,,13.7
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.80,1.80,Normal,,29.1
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.12,1.11,Normal,,12.7
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.68,1.62,Normal,,24.5
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.92,0.92,Normal,,6.2
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,4.12,4.10,Minor Flood,Falling,20.5
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,9.75,9.72,Normal,,7.6
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,4.82,4.72,Normal,,31.1
,Maguru Ganga,Magura,m,4.00,6.00,7.50,3.11,3.06,Normal,,35.8
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,7.87,7.83,Minor Flood,Falling,4.9
Gin Ganga,Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.70,2.66,Normal,,36.6
(RB 09),Gin Ganga,Baddegama,m,3.50,4.00,5.00,4.29,4.29,Minor Flood,,7.8
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,2.23,2.24,Minor Flood,Rising,27.9
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,6.78,6.76,Minor Flood,Falling,72.5
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,2.59,2.53,Normal,,78.8
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.56,1.53,Normal,,41.3
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,1.80,3.50,5.00,0.87,0.86,Normal,,42.3
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,-0.16,-0.16,Normal,,25.7
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.42,0.42,Normal,,0.0
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.01,1.01,Normal,,5.7
"Menik Ganga (RB
26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.24,-0.25,Normal,,9.2
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.70,0.70,Normal,,0.0
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.13,0.13,Normal,,0.0
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,0.06,0.06,Normal,,0.0
,,Manampitiya ( Old),m,3.50,5.00,6.00,-1.44,-1.44,Normal,,0.0
,Mahaweli Ganga,Manampitiya (HMIS),m,4.65,6.15,7.15,-0.30,-0.30,Normal,,0.0
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-3.07,-3.10,Normal,,0.0
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,2.32,2.32,Normal,,6.0
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.65,1.63,Normal,,26.3
,Badulu Oya,Taldena,m,3.00,4.00,5.00,0.18,0.18,Normal,,0.6
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,1.38,1.38,Normal,,0.0
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,0.37,0.37,Normal,,0.0
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,0.28,0.28,Normal,,0.0
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,0.00,0.00,Normal,,8.5
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,-,-,-,0.19,0.19,Normal,,26.3
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,3.11,3.11,Normal,,34.0
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.86,1.86,Normal,,9.0
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,3.51,3.49,Alert,Falling,7.7
