දිනය : 2026-02-24,,,,,
නගරය,උෂණ් ත්වය(සෙ. අංශක),,ොසේක්ෂ ආර්ද්‍රතාවය(%),,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනුරාධපුරය,32,22,95,65,ප්‍රධාන වශයයන් වැසි රහිත
මඩකලපුව,30,23,95,80,ප්‍රධාන වශයයන් වැසි රහිත
යකාළඹ,33,24,90,75,ප්‍රධාන වශයයන් වැසි රහිත
ගාල්ල,29,24,95,80,සවස 2.00න් පසුව වැසි යහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
යාපනය,30,23,90,80,ප්‍රධාන වශයයන් වැසි රහිත
මහනුවර,31,19,95,75,ප්‍රධාන වශයයන් වැසි රහිත
නුවරඑළිය,22,11,95,70,සවස 2.00න් පසුව වැසි යහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
රත්නපුරය,36,22,95,65,සවස 2.00න් පසුව වැසි යහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
ත්‍රිකුණාමලය,30,24,95,75,ප්‍රධාන වශයයන් වැසි රහිත
මන්නාරම,31,25,95,80,ප්‍රධාන වශයයන් වැසි රහිත
