River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am",,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,0.90,0.40,Normal,,-,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,1.31,1.28,Normal,,1.1,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,9.30,9.27,Normal,,59,.1,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.69,1.69,Normal,,0.0,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.56,0.56,Normal,,1.7,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.43,0.44,Normal,,0.0,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.74,0.74,Normal,,0.5,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,0.42,0.27,Normal,,0.0,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,4.62,4.61,Normal,,0.5,,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,1.03,1.03,Normal,,0.6,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,1.26,1.25,Normal,,1.3,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,1.87,1.82,Normal,,0.0,,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,1.19,1.19,Normal,,2.1,,
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,1.49,1.54,Normal,,3.1,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.61,0.61,Normal,,14.1,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,3.53,3.52,Normal,,12.2,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.26,1.27,Normal,,10.2,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.89,0.86,Normal,,25.1,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,1.82,1.95,Normal,,39,.7,
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,1.95,2.00,Normal,,18.3,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,1.22,1.35,Normal,,20.1,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,2.28,2.32,Normal,,29.1,,
"Menik Ganga (RB
26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,2.15,2.20,Normal,,78.9,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,2.88,2.96,Normal,,41,.2,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,2.61,2.66,Normal,,50,.2,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,1.78,1.86,Normal,,42,.5,
,,Manampitiya ( Old),m,3.50,5.00,6.00,3.54,3.53,Alert,Falling,88.4,,
,Mahaweli Ganga,Manampitiya (HMIS),m,4.65,6.15,7.15,4.68,4.67,Alert,Falling,88.4,,
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,1.05,0.95,Normal,,20.5,,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,2.30,2.50,Normal,,6.5,,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,0.97,0.96,Normal,,0.5,,
,Badulu Oya,Taldena,m,3.00,4.00,5.00,1.80,1.74,Normal,,26.3,,
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,4.11,4.20,Normal,,1.7,,
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,1.26,1.31,Normal,,4.8,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,2.82,2.93,Normal,,21.2,,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,0.65,1.07,Normal,,27.8,,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,2.80,2.80,Normal,,4.0,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.49,2.49,Normal,,0.0,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.30,1.29,Normal,,1.1,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,1.29,1.29,Normal,,0.0,,
