දිනය : 2026-04-26,,,,,
නගරය,උෂණ් ත්වය(සෙ. අංශක),,ොසේක්ෂ ආර්ද්‍රතාවය(%),,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනුරාධපුරය,34,25,95,65,ප්‍රධාන වශයයන් වැසි රහිත
මඩකලපුව,33,26,90,65,ප්‍රධාන වශයයන් වැසි රහිත
යකාළඹ,32,26,90,75,සවස 2.00න් පසුව වැසි යහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
ගාල්ල,33,26,90,75,සවස 2.00න් පසුව වැසි යහෝ ගිගුරුම් සහිත වැසි ඇති යේ
යාපනය,35,27,90,55,ප්‍රධාන වශයයන් වැසි රහිත
මහනුවර,33,25,95,70,සවස 2.00න් පසුව වැසි යහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
නුවරඑළිය,23,11,95,50,සවස 2.00න් පසුව වැසි යහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
රත්නපුරය,34,24,95,80,සවස 2.00න් පසුව වැසි යහෝ ගිගුරුම් සහිත වැසි ඇති යේ
ත්‍රිකුණාමලය,35,26,90,55,ප්‍රධාන වශයයන් වැසි රහිත
මන්නාරම,35,27,90,65,සවස 2.00න් පසුව වැසි යහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
