ප්‍රධාන්‍ න්‍ෙර සෙහා කාලගුණ අන්‍ාවැකිය දි න්‍ ය : 2 0 2 6 - 0 1 -03,,,,,
න්‍ෙරය,උෂ්ණත්වය(ගස. අංශ්‍ක),,"සාගේක්ෂ
ආර්රතාවය(%)",,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනුරාධ්‍පුරය,29,23,90,70,විටින විට වැසි
මඩකලපුව,28,22,95,85,විටින විට වැසි
ගකාළඹ,31,25,85,60,ප්‍රධ්‍ාන වශගයන වැසි රහිත
ොේල,30,24,90,80,"සවස 2.00න පසුව වැසි ගහෝ ගිගුරුම් සහිත වැසි ඇති විය
හැක"
යාපනය,30,25,90,75,වැසි වාර කිහිපයක්
මහනුවර,29,21,90,70,වැසි වාර කිහිපයක්
නුවරඑළිය,20,11,95,75,විටින විට වැසි
රත්නපුරය,32,23,95,65,"සවස 2.00න පසුව වැසි ගහෝ ගිගුරුම් සහිත වැසි ඇති විය
හැක"
ිකුණාමලය,28,23,95,85,විටින විට වැසි
මනනාරම,30,25,90,80,වැසි වාර කිහිපයක්
