Weather Forecast for Main Cities Date : 3-Jan-2026,,,,,
City,Temperature (0C),,"Relative Humidity
(%)",,Weather
,Max,Min,Max,Min,
Anuradhapura,29,23,90,70,Showers at times
Batticaloa,28,22,95,85,Showers at times
Colombo,31,25,85,60,Mainly fair
Galle,30,24,90,80,Showers or thundershowers are likely after 2.00p.m
Jaffna,30,25,90,75,Several spells of showers
Kandy,29,21,90,70,Several spells of showers
Nuwara-Eliya,20,11,95,75,Showers at times
Ratnapura,32,23,95,65,Showers or thundershowers are likely after 2.00p.m
Trincomalee,28,23,95,85,Showers at times
Mannar,30,25,90,80,Several spells of showers
