River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
2:00 pm","Water
Level at
3.00 pm",Remarks,"Water Level
Rising or
Falling","6 Hr RF in
mm at 3.00
pm",
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,2.90,2.80,Normal,,-,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,2.39,2.34,Normal,,0.0,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,9.92,9.90,Normal,,0.0,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.80,1.70,Normal,,37.0,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.66,0.67,Normal,,2.4,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.66,0.71,Normal,,4.8,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.07,1.01,Normal,,33.2,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,1.82,1.86,Normal,,0.0,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,7.31,7.26,Normal,,0.0,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,2.94,2.84,Normal,,0.0,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,3.62,3.36,Normal,,0.0,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,5.12,5.12,Alert,,3.0,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.25,3.23,Normal,,0.0,
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.06,2.05,Normal,,0.0,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,2.01,2.01,Minor Flood,,0.0,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,5.51,5.48,Alert,Falling,0.0,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.72,1.70,Normal,,0.0,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.20,1.19,Normal,,0.0,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.77,2.77,Normal,,3.8,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.52,1.53,Normal,,7.6,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,2.36,2.32,Normal,,4.5,
