River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
11:00 pm","Water
Level at
12:00
midnight",Remarks,"Water
Level
Rising or
Falling","15 Hr RF
in mm at
12.00
midnight",
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,1.30,1.50,Normal,,-,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,2.10,2.25,Normal,,26.2,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,10.95,11.10,Normal,,22.2,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,1.91,1.82,Normal,,39.3,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.81,1.72,Normal,,11.4,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.17,1.22,Normal,,38.4,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.94,0.93,Normal,,6.5,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,1.30,1.45,Normal,,10.9,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,7.11,7.34,Normal,,132.5,
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,2.99,3.57,Normal,,67.,0
,Maguru Ganga,Magura,m,4.00,6.00,7.50,4.20,4.58,Alert,Rising,41.4,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,5.30,5.58,Alert,Rising,89.,2
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.00,3.10,Normal,,9.7,
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,4.85,5.10,Alert,Rising,131.1,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.88,0.94,Normal,,2.5,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,3.52,3.63,Normal,,7.7,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,3.30,3.71,Normal,,30.2,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,3.99,4.38,Minor Flood,Rising,76.,5
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,3.64,3.51,Alert,Falling,23.1,
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,1.90,1.85,Normal,,4.4,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,1.12,1.13,Normal,,0.0,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,2.39,2.30,Normal,,31.8,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,0.10,0.09,Normal,,0.0,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.78,0.78,Normal,,0.7,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.57,0.57,Normal,,0.0,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,0.40,0.40,Normal,,0.6,
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,0.65,0.65,Normal,,10.1,
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,-1.94,-1.86,Normal,,15.7,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,3.50,3.47,Normal,,21.6,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,2.03,1.85,Normal,,47.0,
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,0.40,0.40,Normal,,0.3,
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,2.75,2.76,Normal,,0.9,
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,0.63,0.63,Normal,,4.3,
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,1.60,1.60,Normal,,3.9,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,0.70,0.70,Normal,,43.4,
"Maha Oya
(RB 102)",Maha Oya,Badalgama,m,5.00,6.20,9.60,2.65,2.66,Normal,,7.2,
,Maha Oya,Giriulla,m,5.50,6.50,7.50,1.54,1.60,Normal,,10.1,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,2.82,2.98,Normal,,86.,7
