,Benthota,Flood,2025.10.21,1,3,,,,,1,,,,,,
,Elpitiya,Landslide,2025.10.21,10,30,,,,,1,,,,,,
,Hikkaduwa,Flood,2025.10.21,52,130,,,,,1,,,,,,
,Imaduwa,Cutting Failure,2025.10.21,1,4,,,,,,,,,,,
,Habaraduwa,Flood,2025.10.21,150,325,,,,,2,,,,,,
,Baddegama,Cutting Failure,2025.10.21,10,22,,,,,,,,,,,
,Nagoda,Cutting Failure,2025.10.21,2,13,,,,,2,,,,,,
,Thawalama,Cutting Failure,2025.10.21,1,3,,,,,1,,,,,,
,Neluwa,Cutting Failure,2025.10.21,2,6,,,,,2,,,,,,
,Weliwitiya Diwithura,Cutting Failure,2025.10.21,4,18,,,,,4,,,,,,
,Waduraba,Heavy Rain,2025.10.21,3,12,,,,,3,,,,,,
,Akmeemana,Heavy Rain,2025.10.21,53,222,,,,,5,,,,,,
,Gonapinuwala,Flood,2025.10.21,15,60,,,,,,,,,,,
දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,1721,7062,0,0,0,0,29,0,0,0,0,0,
පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total,,,,1721,7062,0,0,0,0,29,0,0,0,0,0,
