River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
2:00 pm","Water
Level at
3:00 pm",Remarks,"Water
6
Level
Rising or
Falling","Hr RF in
mm at 3.00
pm",
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,2.00,1.90,Normal,,-,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,1.19,1.19,Normal,,0.0,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,9.36,9.33,Normal,,0.0,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,1.75,1.75,Normal,,1.2,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.59,0.59,Normal,,0.0,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.45,0.45,Normal,,0.0,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.72,0.73,Normal,,0.0,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,0.73,0.70,Normal,,1.0,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,4.67,4.66,Normal,,0.0,
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,1.19,1.21,Normal,,0.0,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,1.46,1.45,Normal,,0.0,
,Kuda Ganga,Kalawellawa (Millakanda),m,5.00,6.50,8.00,2.00,2.02,Normal,,0.0,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,1.10,1.12,Normal,,1.0,
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,1.42,1.42,Normal,,1.3,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.55,0.54,Normal,,4.5,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,2.69,2.69,Normal,,1.5,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,0.71,0.71,Normal,,0.0,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.49,0.49,Normal,,0.0,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,0.98,0.97,Normal,,1.5,
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,0.92,0.92,Normal,,0.0,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.94,0.94,Normal,,2.4,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.41,1.42,Normal,,1.7,
"Menik Ganga (RB
26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,0.13,0.13,Normal,,3.1,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,1.10,1.12,Normal,,7.9,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.84,0.86,Normal,,4.0,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,0.90,0.90,Normal,,1.8,
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,2.10,2.10,Normal,,11.5,
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,-1.48,-1.47,Normal,,9.0,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,2.60,2.55,Normal,,2.2,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,0.97,0.97,Normal,,0.0,
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,0.71,0.75,Normal,,9.3,
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,5.74,5.75,Normal,,4.2,
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,1.80,1.88,Normal,,10.9,
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,3.95,4.00,Normal,,5.9,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,0.61,0.61,Normal,,5.5,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,1.48,1.53,Normal,,0.0,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.32,2.32,Normal,,1.2,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.15,1.15,Normal,,0.3,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,1.20,1.20,Normal,,0.0,
