"දදනික තත්ත්ව වාර්තාව- ශ්‍රී ලංකාව/epiyik mwpf;if-,yq;if/Situation Report- Sri Lanka දිනය/jpfjp /Date :04th March 2025 at 0900hrs",,,,,,,,,,,,,,,,,,
"පළාත khfhzk;
Province",#,"පරිපාලන ප්‍රලද්ශය நிர்வாகப் பிரிவு
Administrative purview",,"ආපදාව
mdHj;jk
Disaster","ආරම්භක දිනය
mdu;j;jk;
Muk;gpj;j jpfjp
Date of
commenced","බලපෑමට ලක්වු
ghjpf;fg;gl;l Affected",,"මිය යෑම්
kuzq;f
s;
Deaths","තුවාලවු
පුද්ගලයින්
fhakil
e;NjhH
Injured
People","අතුරුදහ
න්වූ
පුද්ගලයින්
fhzhky;
NghNdhH
Missing
People","නිවාස්ත්‍ හානි
Nrjkile;j
tPLfs; Houses
Damaged",,"ලවනත් හානි பிற பாதிப்புகள்
Other Damages",,"ආරක්ිත ස්ත්‍රථාන ghJfhg;ghd
miktplk; Safe Location",,,"ලවනත් කරුණු
NtW Fwpg;Gf;fs;
Remarks"
,,"දිස්ත්‍රික්කය
மாவட்டம் District","ප්‍රා.ලේ. ලකා
gpuNjr nra.gp DS
Division",,,"පවුේ ස්ත්‍ංඛ්‍යාව
FLk;gq;fs;
Families","පුද්ගලයින්
egHfs;
People",,,,"පූර්ණ
හානි
KOik
Fully","අර්ධ හානි
gFjpasT
Partially","කුඩා හා මධය
පරිමාණ වයාපාරික
ස්ත්‍රථාන சிறிய,
நடுத்தர,
நிறுவனங்களின்
சேதங்கள்; Small,
Medium,
Enterprises
Damages","ඉතා වැදගත් යටිතල
පහසුකම් වලට වූ
හානි mbg;gilf;
fl;likg;Gf;fs;
Damages to
critical
Infrastructure","ආරක්ිත
ස්ත්‍රථාන
ස්ත්‍ංඛ්‍යාව
vz;zpf;i
f No.
of Safety
Locations","පවුේ
ස්ත්‍ංඛ්‍යාව
FLk;gq;f
s;
Families","පුද්ගලයින්
egHfs;
Persons",
"දකුනු පලාත
njd; khfhzk;
Southern",1,,Elpitiya,Lightning,2025.02.26,1,5,,,,,1,,,,,,
,,,,High wind,2025.03.02,1,2,,,,,1,,,,,,
,,,Nagoda,Cutting failure,2025.03.02,5,14,,,,,5,,,,,,
,,,Karandeniya,Lightning,2025.03.03,1,3,,,,,1,,,,,,
,,ගාල්ල fhyp,Welivitiya Divithura,High wind,2025.03.03,1,4,,,,,1,,,,,,
,,Galle,Yakkalamulla,Flood,2025.03.02,,,1,,,,,,,,,,
,,,,High wind,2025.03.03,2,6,,,,,2,,,,,,
,,,Baddegama,Lightning,2025.03.03,1,5,,,,,1,,,,,,
,,,Imaduwa,Lightning,2025.03.03,5,19,,,,,5,,,,,,
,,,Thawalama,Rock Fallen,2025.03.03,1,2,,,,,1,,,,,,
,දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,18,60,1,0,0,0,18,0,0,0,0,0,
,පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total,,,,,18,60,1,0,0,0,18,0,0,0,0,0,
"ස්ත්‍බරගමුව පලාත
rg;ufKt
Sabaragamuwa",2,"රත්නපුර
,uj;jpdGhp
Rathnapura",Pelmadulla,"High Wind / Heavy
Rain",2025.02.25,16,61,,1,,,16,,,,,,
,,,Kuruvita,,,34,156,,,,,34,,,,,,
,,,Nivithigala,,,4,14,,,,,4,,,,,,
,,,Opanayake,,,1,5,,,,,1,,,,,,
,,,Rathnapura,,,5,22,,,,,4,,,,,,
,,,Ayagama,,,1,5,,,,,1,,,,,,
,,,Elapatha,,,20,72,,,,,20,,,,,,
,,,Eheliyagoda,,,7,29,,,,,8,,,,,,
,,,Kiriella,,,75,297,,,,,75,,,,,,
,,,Imbulpe,Rock Fallen,2025.02.27,2,6,,,,,,,,,,,
,,,,High wind,2025.02.28,1,2,,,,,1,,,,,,
,,,Kahawaththa,High wind,2025.03.01,2,5,,,,,2,,,,,,
,,,Kalawana,Lightning,,2,5,,,,,2,,,,,,
,,,Balangoda,High wind,,2,10,,,,,2,,,,,,
,,,Godakawela,Lightning,2025.03.02,1,7,,,,,1,,,,,,
,,,Rathnapura,High Wind,,8,36,,,,,8,,,,,,
,,,Kuruwita,Heavy rain,,1,7,,,,,1,,,,,,
,දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,182,739,0,1,0,0,180,0,0,0,0,0,
,3,"කෑගල්ල
Nffhiy
Kegalle",Bulathkohupitiya,High wind,2025.02.27,1,4,,,,,1,,,,,,
,,,Dehiovita,Lightning,2025.02.25,6,30,,,,,6,,,,,,
,,,Ruwanwella,Tree Fallen,2025.02.25,1,4,,,,,1,,,,,,
,,,Yatiyanthota,Tree Fallen,2025.02.25,1,6,,,,,1,,,,,,
,,,Deraniyagala,Tree Fallen,2025.02.26,1,4,,,,,1,,,,,,
,,,Kegalle,Heavy rain,2025.03.03,1,4,,,,,1,,,,,,
,,,Warakapola,High wind,2025.03.03,1,3,,,,,1,,,,,,
,,,Aranayake,High wind,2025.03.01,1,5,,,,,1,,,,,,
,දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,13,60,0,0,0,0,13,0,0,0,0,0,
,පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total,,,,,195,799,0,1,0,0,193,0,0,0,0,0,
