River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am",
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,2.36,2.36,Normal,,-,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,5.39,5.27,Normal,,40.1,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,12.02,11.84,Normal,,141.7,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.85,1.87,Normal,,16.1,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.27,1.25,Normal,,24.4,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.86,0.84,Normal,,18.6,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.99,0.98,Normal,,29.0,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,1.98,1.98,Normal,,39.6,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,7.48,7.46,Normal,,70.5,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,2.20,2.16,Normal,,26.7,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,3.42,3.38,Normal,,3.2,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,5.13,5.16,Alert,Rising,32.2,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,2.88,2.86,Normal,,16.3,
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.32,2.29,Normal,,32.9,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.35,1.36,Normal,,0.0,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,5.12,5.08,Alert,Falling,51.4,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.59,1.54,Normal,,9.7,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.89,0.85,Normal,,51.3,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,2.15,1.73,Normal,,4.4,
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,1.66,1.60,Normal,,3.5,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,1.21,1.21,Normal,,4.0,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.98,1.98,Normal,,5.8,
"Menik Ganga (RB
26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,1.59,1.55,Normal,,9.7,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,1.49,1.47,Normal,,3.9,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.86,0.83,Normal,,10.4,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,0.99,1.00,Normal,,25.1,
,,Manampitiya ( Old),m,3.50,5.00,6.00,1.22,1.23,Normal,,25.2,
,Mahaweli Ganga,Manampitiya (HMIS),m,4.65,6.15,7.15,2.36,2.37,Normal,,25.2,
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,0.47,0.54,Normal,,17.8,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,3.34,3.67,Normal,,8.0,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.45,1.44,Normal,,28.9,
,Badulu Oya,Taldena,m,3.00,4.00,5.00,0.82,0.82,Normal,,8.0,
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,5.92,6.08,Alert,Rising,54.9,
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,3.03,3.34,Normal,,60.2,
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,5.70,5.63,Alert,Falling,41.9,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,2.19,2.19,Normal,,13.2,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,2.57,2.57,Normal,,11.9,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,4.16,4.07,Normal,,32.8,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,2.97,2.87,Normal,,23.8,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,4.08,4.04,Alert,Falling,96.5,
