ප්‍රධාන්‍ න්‍ගර සදහා කාලගුණ අන්‍ාවැකිය දි න්‍ ය : 2 0 2 6 - 0 1 -17,,,,,
න්‍ගරය,උෂ්ණත්වය(සස. අංශක),,සාසේක්ෂ ආර්ද්‍රතාවය(%),,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනුරොධ්‍පුරය,32,22,95,70,ප්‍රධ්‍ොන වශනයේ වැසි රහිත
මඩකලපුව,30,23,95,75,ප්‍රධ්‍ොන වශනයේ වැසි රහිත
නකොළඹ,31,23,95,65,ප්‍රධ්‍ොන වශනයේ වැසි රහිත
ගොල්තල,29,24,95,80,සවස 4.00ේ පසුව වැසි න ෝ ගිගුරුම් සහිත වැසි ඇති විය ැක
යොපනය,29,22,95,75,ප්‍රධ්‍ොන වශනයේ වැසි රහිත
ම නුවර,30,19,95,65,ප්‍රධ්‍ොන වශනයේ වැසි රහිත
නුවරඑළිය,19,9,95,70,ප්‍රධ්‍ොන වශනයේ වැසි රහිත
රත්තනපුරය,34,22,95,60,සවස 2.00ේ පසුව වැසි න ෝ ගිගුරුම් සහිත වැසි ඇති විය ැක
ිකුණොමලය,30,24,95,75,ප්‍රධ්‍ොන වශනයේ වැසි රහිත
මේනොරම,30,25,90,80,ප්‍රධ්‍ොන වශනයේ වැසි රහිත
