River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
11:00 pm","Water
Level at
12:00
Midnight",Remarks,"Water
Level
Rising or
Falling","15 Hr RF
in mm at
12.00
Midnight"
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,8.10,8.10,Major Flood,,-
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,8.21,8.14,Minor Flood,Falling,0.0
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,11.88,11.85,Normal,,0.0
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,2.05,2.05,Normal,,0.0
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.30,1.25,Normal,,0.0
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.19,1.17,Normal,,0.0
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.21,1.21,Normal,,0.0
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,4.06,4.04,Minor Flood,Falling,0.0
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,10.55,10.49,Alert,Falling,0.0
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,4.64,4.55,Normal,,0.0
,Maguru Ganga,Magura,m,4.00,6.00,7.50,2.19,2.18,Normal,,1.8
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,6.72,6.68,Minor Flood,Falling,0.0
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,1.84,1.83,Normal,,0.0
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,1.89,1.88,Normal,,5.3
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,NA,NA,,,-
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,3.19,3.18,Normal,,0.0
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.00,1.00,Normal,,0.0
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.64,0.63,Normal,,0.0
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,1.43,1.40,Normal,,78.7
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,1.43,1.43,Normal,,0.0
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,1.25,1.25,Normal,,0.0
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.81,1.81,Normal,,0.0
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,0.88,0.88,Normal,,0.0
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,1.58,1.57,Normal,,0.0
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,1.10,1.09,Normal,,1.3
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,0.93,0.93,Normal,,0.0
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,NA,3.03,,,-
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,NA,NA,,,-
,Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,NA,NA,,,-
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,NA,NA,,,-
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,NA,NA,,,-
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,5.98,5.84,Normal,,0.0
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,1.06,1.05,Normal,,1.0
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,9.08,9.05,Major Flood,Falling,0.0
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,NA,NA,,,0.0
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,NA,NA,,,-
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,3.86,3.84,Normal,,0.0
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,2.70,2.68,Normal,,0.0
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,3.30,3.25,Normal,,0.0
