River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
11:00 am","Water
Level at
12:00 Noon",Remarks,"Water
Level
Rising or
Falling","3 Hr RF in
mm at
12.00 Noon",,,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,2.85,2.85,Normal,,-,,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,5.14,5.12,Normal,,2.2,,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,12.52,12.63,Normal,,0.0,,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.84,1.83,Normal,,0.0,,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.17,1.15,Normal,,0.0,,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,3.24,2.85,Normal,,0.5,,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.80,0.80,Normal,,0.0,,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,3.13,3.12,Alert,Falling,0.8,,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,8.53,8.54,Normal,,0.8,,,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,4.31,4.49,Normal,,0.4,,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,4.17,4.26,Alert,Rising,1.6,,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,6.92,6.93,Minor Flood,Rising,2.5,,,
Gin Ganga,Gin Ganga,Tawalama,m,4.00,6.00,7.50,3.09,3.03,Normal,,0.6,,,
(RB 09),Gin Ganga,Baddegama,m,3.50,4.00,5.00,4.39,4.39,Minor Flood,,1.2,,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,2.67,2.68,Minor Flood,Rising,,4.9,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,6.52,6.50,Minor Flood,Falling,12.3,,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,2.13,2.13,Normal,,0.0,,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.26,1.25,Normal,,0.0,,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.90,2.93,Normal,,6.,,6,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.65,1.71,Normal,,8.7,,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,3.52,3.58,Alert,Rising,0.5,,,
