River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
11:00 am","Water
Level at
12.00
noon",Remarks,"Water Level
Rising or
Falling","3 Hr RF in
mm at
12.00 noon"
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,
"Kelani Ganga
(RB 01)",Kelani Ganga,N' Street,ft,4.00,5.00,7.00,2.80,2.90,Normal,,-
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,5.49,5.38,Normal,,0.0
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,12.40,12.25,Normal,,0.0
,Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.95,1.95,Normal,,0.0
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.30,1.28,Normal,,0.0
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.14,1.09,Normal,,0.0
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.08,1.08,Normal,,0.0
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.78,2.77,Normal,,0.0
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,8.69,8.69,Normal,,0.0
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,4.72,4.63,Normal,,0.0
,Maguru Ganga,Magura,m,4.00,6.00,7.50,2.96,2.90,Normal,,0.0
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,6.59,6.57,Minor Flood,Falling,0.0
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.75,3.73,Alert,Falling,0.0
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.54,2.47,Normal,,0.0
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,2.01,2.01,Minor Flood,,0.0
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,6.00,5.57,Alert,Falling,0.0
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.97,1.93,Normal,,0.0
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.30,1.27,Normal,,0.0
"Maha Oya
(RB 102)",Maha Oya,Badalgama,m,5.00,6.20,9.60,3.97,3.93,Normal,,0.0
,Maha Oya,Giriulla,m,5.50,6.50,7.50,2.85,2.81,Normal,,0.0
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,5.11,5.11,Minor Flood,,0.0
