River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water
Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am"
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,1.20,1.45,Normal,,-
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,2.04,1.99,Normal,,0.2
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,9.68,9.63,Normal,,7.4
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.58,1.70,Normal,,8.4
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.50,0.50,Normal,,1.4
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.63,0.61,Normal,,1.7
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.72,0.71,Normal,,4.7
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,1.41,1.34,Normal,,1.1
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,5.84,5.78,Normal,,3.6
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,1.55,1.53,Normal,,4.2
,Maguru Ganga,Magura,m,4.00,6.00,7.50,1.89,1.85,Normal,,0.0
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,4.61,4.51,Normal,,1.3
Gin Ganga,Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.02,1.98,Normal,,26.2
(RB 09),Gin Ganga,Baddegama,m,3.50,4.00,5.00,2.75,2.73,Normal,,23.3
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.47,1.46,Alert,Falling,6.3
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,4.91,4.84,Normal,,0.0
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.45,1.44,Normal,,18.4
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.78,0.76,Normal,,12.1
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,1.80,3.50,5.00,1.17,1.17,Normal,,37.4
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,1.65,1.59,Normal,,21.3
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.82,0.81,Normal,,15.3
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,2.21,2.17,Normal,,20.0
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,0.78,0.77,Normal,,21.1
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,1.11,1.10,Normal,,1.2
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.72,0.71,Normal,,7.6
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,0.37,0.37,Normal,,2.7
,,Manampitiya ( Old),m,3.50,5.00,6.00,-0.29,-0.27,Normal,,0.3
,Mahaweli Ganga,Manampitiya (HMIS),m,4.65,6.15,7.15,0.85,0.87,Normal,,0.3
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-2.55,-2.43,Normal,,1.4
Mahaweli Ganga,Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,2.00,2.15,Normal,,1.9
(RB 60),Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,0.86,0.84,Normal,,2.5
,Badulu Oya,Taldena,m,3.00,4.00,5.00,0.52,0.51,Normal,,1.2
,Agra Oya,Calidonia,m,3.00,3.50,4.50,0.68,0.69,Normal,,1.9
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,2.05,2.05,Normal,,3.2
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,0.46,0.46,Normal,,1.8
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,1.37,1.36,Normal,,0.0
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,0.47,0.28,Normal,,0.0
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,-,-,-,0.55,0.54,Normal,,0.0
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.62,2.62,Normal,,1.2
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.35,1.35,Normal,,0.8
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,1.84,1.79,Normal,,12.3
