,,"ය
ක
ක්
ි
සර
දි",,,,"ව
ා
ය
ඛ්‍
ාං
ස
.
ේ
ල
.
ා
ප්‍ර",,,,"ව
ා
ද
ප
ආ",,,,,"ේ
වු
ප
ූ
ක්
ල
ට
ම
ෑ
ප
ල
බ",,,,,"ූ
ක්
ල
ට
ම
ෑ
ප
ල
බ","න්
යි
ල
ග
ද්
පු",,,,"ම්
ෑ
ය
ය
මි",,,"න්
ය
ල
ග
ද්
පු
ූ
ල
ා
ව
තු",,,"න්
හ
ද
රු
තු
අ",,"නි
ා
හ
ස
ා
ව
නි
ණ
ර්
පූ",,,,"නි
ා
හ
ස
ා
ව
නි
ධ
ර්
අ",,,,"න
ා
ථ
රස
ත
ක්‍ෂි
ර
ආ",,"ව
ා
ය
ඛ්‍
ාං
ස",,,,,"ව
ා
ය
ඛ්‍
ාං
ස
ේ
වු
ප",,,,,"ව
ා
ය
ඛ්‍
ාං
ස
ල
ග
ද්
පු",,,,"න
ටි
සි
ල
ව
රස
ව
ල
නි
ති
ා
ඥ","ේ
වු
ප",,,"ල
ව
රස
ව
ව
ල
නි
ති
ා
ඥ","න්
යි
ල
ග
ද්
පු
න
ටි
සි",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ත
ි
න්
ාය
ක්‍රි",,,"න
ළ
ාප",,,,,,,,,,,,,,,,,,,
ගම්පහ,,,,,13,,,"ගංවතුර /
තද
වර්ෂාපත
නය /
දැඩි සුළං
/ නාය
යාම්",,,,,20538,,,,,79710,,,,,,3,,,1,,,,,5,,,222,,,,,15,,,,,,267,,,,,1071,,,,,220,,,,941,,,
රත්තනපුර,,,,,10,,,,,,,,2043,,,,,8141,,,,,,3,,,1,,,,,6,,,511,,,,,7,,,,,,50,,,,,182,,,,,283,,,,1071,,,
ලකාළඹ,,,,,06,,,,,,,,11801,,,,,49015,,,,,,1,,,,,,,,,,,45,,,,,25,,,,,,397,,,,,1481,,,,,,,,,,,,
පුත්තතලම,,,,,14,,,,,,,,7828,,,,,29283,,,,,,2,,,,,,,,,,,65,,,,,1,,,,,,1,,,,,15,,,,,885,,,,2843,,,
කළුතර,,,,,14,,,,,,,,1382,,,,,5173,,,,,,3,,,2,,,,,4,,,70,,,,,9,,,,,,20,,,,,102,,,,,,,,,,,,
නුවරඑළිය,,,,,01,,,,,,,,70,,,,,301,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
කෑගේල,,,,,11,,,,,,,,253,,,,,1059,,,,,,5,,,,,,,,3,,,121,,,,,3,,,,,,12,,,,,54,,,,,54,,,,229,,,
මහනුවර,,,,,07,,,,,,,,13,,,,,46,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
කුරුණෑගල,,,,,13,,,,,,,,1018,,,,,3691,,,,,,2,,,,,,,,2,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ගාේල,,,,,01,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,එකතුව,,,,,90,,,,,,,,44946,,,,,176419,,,,,,20,,,5,,,0,,20,,,1083,,,,,60,,,,,,747,,,,,2905,,,,,1442,,,,5084,,
